T_K,p_Pa,F,N_a_m3,log_w,w_m_s,log_n,log_q,n,q,s,converged,iterations,message,residual_norm
190.0,30000.0,1.0,10000000000.0,-5.298317366548036,0.005000000000000002,9.191801688882448,-17.304482189561607,9816.321012907465,3.053225443791221e-08,1.568309736043716,True,8,The solution converged.,9.800293131307725e-19
190.0,30000.0,1.0,10000000000.0,-5.273352930935086,0.005126393282345247,9.21663371989641,-17.279538280915432,10063.131926423222,3.130342623808848e-08,1.5683945182133228,True,10,The solution converged.,1.152172588846547e-18
190.0,30000.0,1.0,10000000000.0,-5.2483884953221365,0.005255981617054892,9.241465775725876,-17.254594364078454,10316.14864147426,3.20940762583484e-08,1.5684793004296744,True,7,The solution converged.,3.4941334776220495e-18
190.0,30000.0,1.0,10000000000.0,-5.2234240597091866,0.00538884577076006,9.266297856362934,-17.229650439053643,10575.527202783482,3.290469648517591e-08,1.5685640826927554,True,7,The solution converged.,8.388837430593157e-18
190.0,30000.0,1.0,10000000000.0,-5.198459624096237,0.00552506855176379,9.291129961799676,-17.204706505843994,10841.427578972056,3.3735791331952974e-08,1.56864886500255,True,7,The solution converged.,5.632528545805184e-18
190.0,30000.0,1.0,10000000000.0,-5.173495188483287,0.005664734861651773,9.315962092028196,-17.17976256445248,11114.013761233608,3.458787795285139e-08,1.5687336473590425,True,7,The solution converged.,4.650121668047525e-18
190.0,30000.0,1.0,10000000000.0,-5.148530752870337,0.005807931748207713,9.34079424704059,-17.154818614882092,11393.453864489895,3.546148656465062e-08,1.568818429762217,True,7,The solution converged.,5.944533955960839e-18
190.0,30000.0,1.0,10000000000.0,-5.123566317257387,0.005954748459666339,9.36562642682896,-17.129874657135797,11679.920231090344,3.635716077668677e-08,1.5689032122120579,True,7,The solution converged.,4.164313576154083e-18
190.0,30000.0,1.0,10000000000.0,-5.098601881644437,0.006105276500337843,9.390458631385412,-17.10493069121658,11973.58953711937,3.727545792913363e-08,1.5689879947085492,True,7,The solution converged.,8.161436882707696e-18
190.0,30000.0,1.0,10000000000.0,-5.073637446031487,0.00625960968763844,9.415290860702054,-17.079986717127415,12274.642901377187,3.821694943983048e-08,1.5690727772516757,True,7,The solution converged.,4.471354728827209e-18
