T_K,p_Pa,F,log_w,w_m_s,log_n,log_q,n,q,s,converged,iterations,message,residual_norm
210.0,30000.0,1.0,-5.298317366548036,0.005000000000000002,8.161197079198843,-15.99172283116019,3502.3767176290726,1.1347051299713722e-07,1.521658886068634,True,7,The solution converged.,7.594806421797249e-16
210.0,30000.0,1.0,-5.273352930935086,0.005126393282345247,8.18603296674007,-15.966780665862277,3590.450520341546,1.1633630423956332e-07,1.5217328123701528,True,10,The solution converged.,1.8462704146130928e-17
210.0,30000.0,1.0,-5.2483884953221365,0.005255981617054892,8.210868876952249,-15.941838492897187,3680.7391867333095,1.1927447431413576e-07,1.521806738709269,True,7,The solution converged.,3.825656528315168e-17
210.0,30000.0,1.0,-5.2234240597091866,0.00538884577076006,8.235704809828553,-15.916896312267518,3773.298417858545,1.2228685125373545e-07,1.521880665085975,True,7,The solution converged.,3.594661480415871e-17
210.0,30000.0,1.0,-5.198459624096237,0.00552506855176379,8.260540765362158,-15.891954123975875,3868.1853156348375,1.2537530926144416e-07,1.5219545915002588,True,7,The solution converged.,2.9806036917967524e-17
210.0,30000.0,1.0,-5.173495188483287,0.005664734861651773,8.285376743546243,-15.86701192802485,3965.4584180756983,1.2854176987667097e-07,1.5220285179521083,True,7,The solution converged.,3.84255132703848e-17
210.0,30000.0,1.0,-5.148530752870337,0.005807931748207713,8.31021274437399,-15.842069724417044,4065.1777354092815,1.317882031707268e-07,1.5221024444415117,True,7,The solution converged.,4.031803130915014e-17
210.0,30000.0,1.0,-5.123566317257387,0.005954748459666339,8.335048767838588,-15.817127513155047,4167.404787105498,1.3511662897260228e-07,1.5221763709684573,True,7,The solution converged.,1.7088601134691983e-17
210.0,30000.0,1.0,-5.098601881644437,0.006105276500337843,8.359884813933222,-15.792185294241458,4272.202639834413,1.385291181256985e-07,1.5222502975329328,True,7,The solution converged.,2.9630622958294295e-17
210.0,30000.0,1.0,-5.073637446031487,0.00625960968763844,8.384720882651088,-15.767243067678866,4379.63594637942,1.4202779377630686e-07,1.5223242241349269,True,7,The solution converged.,2.0990311998752458e-17
210.0,30000.0,1.0,-5.048673010418537,0.006417844210562584,8.409556973985378,-15.742300833469862,4489.770985529051,1.456148326946266e-07,1.5223981507744273,True,7,The solution converged.,1.411702288531777e-17
