T_K,p_Pa,F,log_w,w_m_s,source,n_continuation,q_continuation,s_continuation,n_check,q_check,s_check,abs_diff_n,abs_diff_q,abs_diff_s,rel_diff_n,rel_diff_q,rel_diff_s,check_converged,check_iterations,check_message,check_residual_norm
190.0,30000.0,1.0,-5.298317366548036,0.005000000000000002,root_solve,9816.321012907465,3.053225443791221e-08,1.568309736043716,9816.321012906279,3.0532254437911666e-08,1.568309736043792,1.1859810911118984e-09,5.426304818347862e-22,7.616129948928574e-14,1.2081726846060288e-13,1.7772368658142598e-14,4.856266446538152e-14,True,10.0,The solution converged.,2.749227668136432e-15
190.0,30000.0,1.0,-5.298317366548036,0.005000000000000002,analytic_eq92_94,9816.321012907465,3.053225443791221e-08,1.568309736043716,9812.015581741518,3.053032295844393e-08,1.5686030789368137,4.305431165947084,1.9314794682773306e-12,0.00029334289309779216,0.0004385992634395187,6.326029649088058e-05,0.0001870089999419213,True,,direct formula,
190.0,30000.0,1.0,-4.9238508323537875,0.007271077167244771,root_solve,14246.759497100857,4.4386844733799825e-08,1.5695814734888887,14246.759497099009,4.438684473379903e-08,1.5695814734889713,1.8480932340025902e-09,7.940933880509066e-22,8.260059303211165e-14,1.2972025213022426e-13,1.7890286926527536e-14,5.2625871563392945e-14,True,10.0,The solution converged.,2.9782564955025875e-15
190.0,30000.0,1.0,-4.9238508323537875,0.007271077167244771,analytic_eq92_94,14246.759497100857,4.4386844733799825e-08,1.5695814734888887,14240.463436642942,4.4384023624807136e-08,1.5698777637468244,6.296060457914791,2.8211089926883794e-12,0.0002962902579357607,0.0004419293004276522,6.355732221128466e-05,0.0001887346039150241,True,,direct formula,
190.0,30000.0,1.0,-4.549384298159539,0.010573712634405643,root_solve,20676.92001360164,6.45283368088213e-08,1.570853221402256,20676.920013598774,6.452833680881992e-08,1.5708532214023452,2.86672729998827e-09,1.376428539288238e-21,8.926193117986259e-14,1.386438259712997e-13,2.133060617021938e-14,5.6823852135704907e-14,True,10.0,The solution converged.,3.225366886622561e-15
190.0,30000.0,1.0,-4.549384298159539,0.010573712634405643,analytic_eq92_94,20676.92001360164,6.45283368088213e-08,1.570853221402256,20667.714166085912,6.452421695670866e-08,1.5711524485568351,9.205847515728237,4.119852112643e-12,0.0002992271545791958,0.0004452233461111456,6.384562684218754e-05,0.00019045074515464596,True,,direct formula,
190.0,30000.0,1.0,-4.17491776396529,0.015376456101806879,root_solve,30009.44787136941,9.380963818355432e-08,1.5721249797311696,30009.447871364882,9.380963818355232e-08,1.572124979731266,4.529283614829183e-09,1.998468359928115e-21,9.636735853746359e-14,1.509285886979066e-13,2.130344385315479e-14,6.129751755101322e-14,True,10.0,The solution converged.,3.482368718258331e-15
190.0,30000.0,1.0,-4.17491776396529,0.015376456101806879,analytic_eq92_94,30009.44787136941,9.380963818355432e-08,1.5721249797311696,29995.989181297835,9.380362261037304e-08,1.5724271333668458,13.458690071576711,6.015573181274453e-12,0.00030215363567620557,0.00044848176245245114,6.412532121170719e-05,0.00019215748015568833,True,,direct formula,
190.0,30000.0,1.0,-3.800451229771041,0.022360679774997897,root_solve,43554.45198900114,1.3637828917138324e-07,1.5733967484233458,43554.4519889941,1.3637828917137985e-07,1.5733967484234497,7.043126970529556e-09,3.3881317890172014e-21,1.0391687510491465e-13,1.617085429592402e-13,2.484363024058338e-14,6.604619922409259e-14,True,10.0,The solution converged.,3.761698586779708e-15
190.0,30000.0,1.0,-3.800451229771041,0.022360679774997897,analytic_eq92_94,43554.45198900114,1.3637828917138324e-07,1.5733967484233458,43534.77822930236,1.363695068848705e-07,1.5737018181768565,19.673759698780486,8.782286512746032e-12,0.00030506975351074495,0.00045170490731346414,6.439651476863409e-05,0.0001938548649986121,True,,direct formula,
