panel,value_name,value_unit,T_K,curve_color,w_m_s,value,x_px_page,y_px_page,x_px_panel,y_px_panel,candidate_pixels_in_column_window,source_pdf,source_page,source_render_dpi,source_image,digitization_method,point_index
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.0051619138129195075,10093.657939619367,602,5040.0,6,740.0,32,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,0
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.005329070842401842,10428.42263211641,608,5036.5,12,736.5,52,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,1
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.005501640878284128,10875.199859403796,614,5032.0,18,732.0,51,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,2
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.005710048192026053,11183.63529294769,621,5029.0,25,729.0,51,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,3
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.0058949553269710695,11554.55000515993,627,5025.5,31,725.5,52,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,4
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.006085850265767073,11937.766417144358,633,5022.0,37,722.0,50,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,5
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.0062829269100445825,12276.337680939001,639,5019.0,43,719.0,52,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,6
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.006520930071051993,12802.283771140801,646,5014.5,50,714.5,50,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,7
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.006732095801369094,13165.373920871645,652,5011.5,56,711.5,52,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,8
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.006950099661396911,13602.014668813948,658,5008.0,62,708.0,52,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,9
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.0071751630886663816,14053.136976027528,664,5004.5,68,704.5,52,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,10
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.007446964992507752,14451.703020963683,671,5001.5,75,701.5,52,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,11
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.0076881182918307565,15070.846685644276,677,4997.0,81,697.0,53,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,12
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.007937080801192063,15498.276359715152,683,4994.0,87,694.0,51,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,13
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.00819410540438631,16087.098937790572,689,4990.0,93,690.0,53,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,14
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.00850450579831004,16698.292521544572,696,4986.0,100,686.0,53,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,15
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.008779905190470129,17171.878769145515,702,4983.0,106,683.0,51,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,16
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.00906422277576228,17658.896565728333,708,4980.0,112,680.0,51,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,17
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.009357747349917383,18244.56878822947,714,4976.5,118,676.5,52,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,18
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.009660777060669892,18849.66532475457,720,4973.0,124,673.0,50,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,19
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.010686637667366468,21278.21646415797,739,4960.0,143,660.0,9,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,20
