variable,panel,T_K,w_m_s,continuation_value,digitized_value,signed_relative_error,absolute_error
n,number_concentration,190.0,0.0051619138129195,10132.487865001673,10093.657939619368,0.003846962678405224,38.82992538230428
n,number_concentration,190.0,0.0053290708424018,10458.838311836786,10428.42263211641,0.002916613642671593,30.41567972037592
n,number_concentration,190.0,0.0055016408782841,10795.700375329867,10875.199859403796,-0.007310163040836978,79.49948407392912
n,number_concentration,190.0,0.005710048192026,11202.444001339692,11183.63529294769,0.0016818063088897765,18.80870839200179
n,number_concentration,190.0,0.005894955326971,11563.257417613682,11554.55000515993,0.0007535916543581215,8.707412453752113
n,number_concentration,190.0,0.006085850265767,11935.692535883507,11937.766417144358,-0.00017372439603711957,2.0738812608506123
n,number_concentration,190.0,0.0062829269100445,12320.123748039932,12276.337680939,0.0035667043575151854,43.786067100932996
n,number_concentration,190.0,0.0065209300710519,12784.30474219213,12802.2837711408,-0.00140436107104568,17.97902894867002
n,number_concentration,190.0,0.006732095801369,13196.069638769655,13165.373920871643,0.002331549265710461,30.695717898011935
n,number_concentration,190.0,0.0069500996613969,13621.09750479125,13602.014668813948,0.001402941876033589,19.08283597730224
n,number_concentration,190.0,0.0071751630886663,14059.815522912575,14053.136976027528,0.0004752353084182725,6.678546885046671
n,number_concentration,190.0,0.0074469649925077,14589.545077027857,14451.703020963683,0.009538118508539745,137.84205606417345
n,number_concentration,190.0,0.0076881182918307,15059.456866745662,15070.846685644276,-0.0007557517594192316,11.389818898613157
n,number_concentration,190.0,0.007937080801192,15544.504565297662,15498.276359715152,0.002982796571022071,46.22820558251078
n,number_concentration,190.0,0.0081941054043863,16045.175704550189,16087.098937790572,-0.002606015752280841,41.923233240382615
n,number_concentration,190.0,0.00850450579831,16649.71068068337,16698.292521544572,-0.002909389735418848,48.58184086120309
n,number_concentration,190.0,0.0087799051904701,17185.980799138375,17171.878769145515,0.0008212281359800334,14.10202999286048
n,number_concentration,190.0,0.0090642227757622,17739.524307606178,17658.896565728333,0.004565842581258648,80.62774187784453
n,number_concentration,190.0,0.0093577473499173,18310.89765573111,18244.56878822947,0.0036355404324180745,66.32886750164107
n,number_concentration,190.0,0.0096607770606698,18900.675202690014,18849.66532475457,0.002706142366806663,51.00987793544482
n,number_concentration,190.0,0.0106866376673664,20896.574375930963,21278.21646415797,-0.01793581190744359,381.64208822700675
n,number_concentration,190.0,0.0110327005177689,21569.63780101583,21577.846394071395,-0.00038041762396738614,8.20859305556587
n,number_concentration,190.0,0.0114506295555044,22382.327995191492,22293.493898283545,0.003984754355385581,88.83409690794724
n,number_concentration,190.0,0.0118214325738365,23103.248502071976,23140.48566993743,-0.0016091783204804852,37.23716786545265
n,number_concentration,190.0,0.0122042432182766,23847.390308013626,23907.959425821507,-0.002533429002830934,60.56911780788141
n,number_concentration,190.0,0.0125994503289303,24615.50142732793,24700.88709716666,-0.003456785560083076,85.38566983872806
n,number_concentration,190.0,0.0130767293181936,25542.95722786032,25520.112884582137,0.0008951505575817283,22.84434327818235
