T_K,p_Pa,F,N_a_m3,log_w,w_m_s,log_n,log_q,s,n,q,branch,point,type_code,label
210.0,30000.0,1.0,10000000000.0,-5.2983173665,0.005000000000240183,8.179482102,-15.988518028,1.5112754182,3567.0068366653845,1.1383474699316298e-07,1,-1,9,1
210.0,30000.0,1.0,10000000000.0,-5.2751756252,0.005117057945027218,8.2025012852,-15.965397201,1.5113439431,3650.0687616233254,1.1649736281243561e-07,1,-2,0,0
210.0,30000.0,1.0,10000000000.0,-5.2578192309,0.0052066468414812776,8.2197660578,-15.948057053,1.5113953362,3713.6335052895115,1.1853506025505601e-07,1,-3,0,0
210.0,30000.0,1.0,10000000000.0,-5.2288919184,0.005359460733406402,8.248540693,-15.919156808,1.5114809915,3822.0442139153056,1.2201073454623319e-07,1,-4,0,0
210.0,30000.0,1.0,10000000000.0,-5.19996462,0.005516759600262683,8.2773153458,-15.890256567,1.5115666467,3933.6197848866063,1.2558832174154103e-07,1,-5,0,0
210.0,30000.0,1.0,10000000000.0,-5.1710373358,0.005678675069902939,8.3060900162,-15.86135633,1.511652302,4048.452612883739,1.2927081009245557e-07,1,-6,0,0
210.0,30000.0,1.0,10000000000.0,-5.1421100658,0.005845342633760826,8.3348647042,-15.832456096,1.5117379573,4166.637790007216,1.3306127560345745e-07,1,-7,0,0
210.0,30000.0,1.0,10000000000.0,-5.11318281,0.006016901759702182,8.3636394099,-15.803555865,1.5118236126,4288.273184958287,1.3696288434674748e-07,1,-8,0,0
210.0,30000.0,1.0,10000000000.0,-5.0842555683,0.006193496009343553,8.3924141332,-15.774655637,1.5119092679,4413.459522828338,1.4097889522875276e-07,1,-9,0,0
210.0,30000.0,1.0,10000000000.0,-5.0553283408,0.006375273156354443,8.4211888741,-15.745755413,1.5119949232,4542.300469753626,1.4511266256705015e-07,1,-10,0,0
210.0,30000.0,1.0,10000000000.0,-5.0264011274,0.006562385312549754,8.4499636326,-15.716855192,1.5120805785,4674.902718363142,1.4936763931904277e-07,1,-11,0,0
210.0,30000.0,1.0,10000000000.0,-4.9974739282,0.006754989052653052,8.4787384088,-15.687954975,1.5121662338,4811.376076618946,1.5374737939352558e-07,1,-12,0,0
210.0,30000.0,1.0,10000000000.0,-4.9685467431,0.006953245547898534,8.5075132025,-15.659054761,1.5122518892,4951.833556844582,1.5825554120843828e-07,1,-13,0,0
210.0,30000.0,1.0,10000000000.0,-4.9396195721,0.007157320698940374,8.5362880138,-15.63015455,1.5123375445,5096.39147216419,1.6289589030286852e-07,1,-14,0,0
210.0,30000.0,1.0,10000000000.0,-4.9106924153,0.007367385274569489,8.5650628427,-15.601254343,1.5124231999,5245.169530945827,1.6767230245969431e-07,1,-15,0,0
210.0,30000.0,1.0,10000000000.0,-4.8817652726,0.00758361505677036,8.5938376891,-15.572354139,1.5125088553,5398.29093586803,1.725887674361922e-07,1,-16,0,0
210.0,30000.0,1.0,10000000000.0,-4.852838144,0.007806190985678653,8.6226125532,-15.543453938,1.5125945107,5555.882488096685,1.7764939181260193e-07,1,-17,0,0
210.0,30000.0,1.0,10000000000.0,-4.8239110296,0.008035299310872695,8.6513874348,-15.514553741,1.5126801661,5718.074688533441,1.828584023975834e-07,1,-18,0,0
210.0,30000.0,1.0,10000000000.0,-4.7949839292,0.008271131750406882,8.6801623339,-15.485653547,1.5127658215,5885.001849100383,1.882201502966981e-07,1,-19,0,0
210.0,30000.0,1.0,10000000000.0,-4.7660568429,0.008513885646476925,8.7089372506,-15.456753356,1.5128514769,6056.802203530279,1.937391140189647e-07,1,-20,4,2
210.0,30000.0,1.0,10000000000.0,-4.7371297708,0.008763764132812333,8.7377121849,-15.427853169,1.5129371323,6233.6180206894105,1.994199031907397e-07,1,-21,0,0
210.0,30000.0,1.0,10000000000.0,-4.7082027127,0.009020976307345588,8.7664871367,-15.398952986,1.5130227878,6415.5957223152955,2.0526726278741028e-07,1,-22,0,0
210.0,30000.0,1.0,10000000000.0,-4.6792756687,0.009285737401988469,8.795262106,-15.370052805,1.5131084432,6602.886005507254,2.112860773363515e-07,1,-23,0,0
210.0,30000.0,1.0,10000000000.0,-4.6503486388,0.009558268966154481,8.8240370929,-15.341152628,1.5131940987,6795.6439676214995,2.174813737534458e-07,1,-24,0,0
210.0,30000.0,1.0,10000000000.0,-4.621421623,0.009838799051285313,8.8528120973,-15.312252454,1.5132797541,6994.0292327197785,2.2385832698524875e-07,1,-25,0,0
210.0,30000.0,1.0,10000000000.0,-4.5924946212,0.010127562402681683,8.8815871192,-15.283352284,1.5133654096,7198.206085728416,2.3042226327389263e-07,1,-26,0,0
210.0,30000.0,1.0,10000000000.0,-4.5635676336,0.010424800651900063,8.9103621586,-15.254452117,1.5134510651,7408.343607854274,2.3717866548908184e-07,1,-27,0,0
210.0,30000.0,1.0,10000000000.0,-4.5346406599,0.010730762527069353,8.9391372155,-15.225551953,1.5135367206,7624.615816614769,2.4413317704268155e-07,1,-28,0,0
210.0,30000.0,1.0,10000000000.0,-4.5057137004,0.011045704049625996,8.9679122899,-15.196651793,1.5136223761,7847.201809956052,2.5129160656860594e-07,1,-29,0,0
210.0,30000.0,1.0,10000000000.0,-4.4767867548,0.01136988876123606,8.9966873818,-15.167751636,1.5137080317,8076.285914579078,2.586599335138644e-07,1,-30,0,0
210.0,30000.0,1.0,10000000000.0,-4.4478598234,0.011703587931234058,9.0254624912,-15.138851482,1.5137936872,8312.057838596065,2.662443124076889e-07,1,-31,0,0
210.0,30000.0,1.0,10000000000.0,-4.4189329059,0.012047080797059477,9.054237618,-15.109951332,1.5138793428,8554.71282778853,2.740510779652672e-07,1,-32,0,0
210.0,30000.0,1.0,10000000000.0,-4.3900060026,0.012400654784049591,9.0830127624,-15.081051185,1.5139649983,8804.45183070493,2.8208675118516455e-07,1,-33,0,0
210.0,30000.0,1.0,10000000000.0,-4.3610791132,0.012764605760195192,9.1117879242,-15.052151042,1.5140506539,9061.481659117524,2.9035804371473456e-07,1,-34,0,0
210.0,30000.0,1.0,10000000000.0,-4.3321522379,0.013139238270337038,9.1405631034,-15.023250901,1.5141363095,9326.015164384278,2.988718648678811e-07,1,35,0,0
210.0,30000.0,1.0,10000000000.0,-4.3032253765,0.013524865802228997,9.1693383002,-14.994350764,1.514221965,9598.271413987277,3.076353253711313e-07,1,36,0,0
210.0,30000.0,1.0,10000000000.0,-4.2742985292,0.013921811038472875,9.1981135143,-14.965450631,1.5143076206,9878.47586632587,3.166557450279907e-07,1,37,0,0
210.0,30000.0,1.0,10000000000.0,-4.245371696,0.014330406134320794,9.2268887459,-14.936550501,1.5143932763,10166.86056690386,3.25940658594563e-07,1,38,0,0
210.0,30000.0,1.0,10000000000.0,-4.2164448767,0.01475099299599417,9.255663995,-14.907650374,1.5144789319,10463.664333898705,3.354978214494568e-07,1,39,0,0
210.0,30000.0,1.0,10000000000.0,-4.1875180714,0.01518392355960236,9.2844392615,-14.87875025,1.5145645875,10769.132956737525,3.453352163703727e-07,1,40,4,3
210.0,30000.0,1.0,10000000000.0,-4.1585912801,0.015629560091224765,9.3132145454,-14.84985013,1.5146502432,11083.519401719057,3.5546105984629345e-07,1,41,0,0
