comparison,reference,variable,T_K,log_w,w_m_s,auto_value,reference_value,signed_diff,abs_diff,rel_diff,auto_residual_norm,reference_residual_norm,reference_converged
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-5.2983173665,0.0050000000002401,9816.359146616069,9816.32101337651,0.03813323955910164,0.03813323955910164,3.884662224511933e-06,3.9427005902512925e-09,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-5.2751774977,0.0051170483633451,10044.885006010174,10044.885014437867,-8.427692591794766e-06,8.427692591794766e-06,8.390033912465247e-10,1.193638017493698e-12,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-5.257821634,0.0052066343294032,10219.803694513685,10219.803723962135,-2.944845073216129e-05,2.944845073216129e-05,2.8815084445422564e-09,1.6145206792635206e-12,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-5.2288952061,0.0053594431131363,10518.130005920422,10518.130028788404,-2.286798189743422e-05,2.286798189743422e-05,2.1741490012810204e-09,3.49502304855757e-13,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-5.1999687931,0.0055167365783212,10825.1649626667,10825.164970462243,-7.795542842359282e-06,7.795542842359282e-06,7.201315512170348e-10,8.771936214643929e-13,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-5.1710423948,0.0056786463415584,11141.162790592283,11141.162803312563,-1.2720280210487545e-05,1.2720280210487545e-05,1.1417372167567167e-09,1.5677609435274932e-12,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-5.1421160113,0.0058453078803795,11466.385138305328,11466.385164551202,-2.6245874323649332e-05,2.6245874323649332e-05,2.2889405812731222e-09,1.7753005031861561e-12,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-5.1131896425,0.0060168606493613,11801.101289293923,11801.101324116367,-3.482244392216671e-05,3.482244392216671e-05,2.950779165924509e-09,1.6651095677935432e-12,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-5.0842632884,0.0061934481951195,12145.588391696472,12145.588428322173,-3.66257008863613e-05,3.66257008863613e-05,3.015555903487904e-09,9.804132915257395e-13,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-5.0553369491,0.0063752182763267,12500.131683313712,12500.131712965416,-2.9651704608113505e-05,2.9651704608113505e-05,2.372111373623215e-09,1.661892119191055e-13,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-5.0264106245,0.0065623229892161,12865.024727636435,12865.024743180367,-1.5543932022410445e-05,1.5543932022410445e-05,1.208231801547847e-09,1.6075832548846378e-12,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-4.9974843146,0.0067549188929991,13240.569662049906,13240.56966946686,-7.416954758809879e-06,7.416954758809879e-06,5.601688555677172e-10,1.450520550796937e-13,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-4.9685580195,0.0069531671407625,13627.077437694015,13627.07746554392,-2.7849904654431157e-05,2.7849904654431157e-05,2.043718084442513e-09,1.1301274053765212e-12,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-4.939631739,0.0071572336170649,14024.868091415485,14024.868131649708,-4.023422297905199e-05,4.023422297905199e-05,2.8687772748647833e-09,1.8037027192695385e-12,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-4.9107054733,0.0073672890718806,14434.270996098672,14434.27103975866,-4.3659987568389624e-05,4.3659987568389624e-05,3.024744890000321e-09,1.5590163932011789e-12,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-4.8817792222,0.0075835092691116,14855.625142797982,14855.625182891945,-4.0093962525133975e-05,4.0093962525133975e-05,2.698907789576371e-09,1.7388435224023137e-12,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-4.8528529859,0.0078060751278324,15289.279420332776,15289.279444500242,-2.4167466108337976e-05,2.4167466108337976e-05,1.5806805151325386e-09,1.2590386219497189e-12,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-4.8239267642,0.0080351728796468,15735.592899699544,15735.592900060152,-3.6060737329535186e-07,3.6060737329535186e-07,2.2916668954620287e-11,1.2454178581612918e-13,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-4.7950005572,0.0082709942191715,16194.935135827956,16194.93516332307,-2.7495114409248345e-05,2.7495114409248345e-05,1.6977600794300782e-09,1.4352579636402177e-12,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-4.7660743649,0.0085137364674795,16667.686473829366,16667.68651786993,-4.40405638073571e-05,4.40405638073571e-05,2.642272144975842e-09,2.0089033574266187e-13,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-4.7371481873,0.0087636027364363,17154.238357337395,17154.238409569167,-5.2231771405786276e-05,5.2231771405786276e-05,3.0448318461430366e-09,1.290970229093873e-12,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-4.7082220243,0.0090208020995416,17654.993664283928,17654.993713599553,-4.931562580168247e-05,4.931562580168247e-05,2.7932961405528507e-09,1.5716175025975932e-12,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-4.679295876,0.0092855497642028,18170.3670269826,18170.36706289789,-3.591529093682766e-05,3.591529093682766e-05,1.9765858781225816e-09,1.3236280611337969e-12,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-4.6503697423,0.0095580672553537,18700.785187545946,18700.7851984404,-1.0894455044763163e-05,1.0894455044763163e-05,5.825667173414586e-10,1.5881759187365657e-12,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-4.6214436233,0.0098385825971355,19246.687346281546,19246.68736926249,-2.2980944777373224e-05,2.2980944777373224e-05,1.1940207858353042e-09,1.4149228619289205e-12,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-4.5925175189,0.0101273305074509,19808.52551748315,19808.525567293003,-4.9809852498583496e-05,4.9809852498583496e-05,2.51456638351859e-09,2.922260514070244e-13,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-4.5635914292,0.010424552590465,20386.76492299405,20386.764984583668,-6.158961696201004e-05,6.158961696201004e-05,3.021058858950093e-09,1.2631886191728276e-12,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-4.5346653541,0.0107304975427451,20981.884356107297,20981.884419082176,-6.297487925621681e-05,6.297487925621681e-05,3.0013929158309393e-09,3.8067875265060963e-13,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-4.5057392936,0.0110454213583306,21594.37659385321,21594.3766444704,-5.061719275545329e-05,5.061719275545329e-05,2.3439987913897325e-09,1.4847896139150293e-12,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-4.4768132478,0.0113695875427632,22224.74880597725,22224.748817930416,-1.1953165085287765e-05,1.1953165085287765e-05,5.378312791388772e-10,1.455967928748001e-12,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-4.4478872165,0.0117032673380705,22873.52293702715,22873.522945783454,-8.756302122492343e-06,8.756302122492343e-06,3.8281388237602007e-10,1.1911944178698233e-12,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-4.4189611999,0.0120467399417775,23541.23619285007,23541.236245545515,-5.269544635666534e-05,5.269544635666534e-05,2.2384315677829536e-09,1.3338577874459066e-12,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-4.3900351979,0.0124002927484978,24228.44148419525,24228.441554641806,-7.044655649224296e-05,7.044655649224296e-05,2.9075975164711514e-09,1.6021566510845154e-12,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-4.3611092105,0.0127642215858075,24935.707815449103,24935.70789970111,-8.425200576311909e-05,8.425200576311909e-05,3.3787693576619483e-09,5.579651226758303e-13,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-4.3321832376,0.0131388309642056,25663.62085143029,25663.620921745653,-7.031536370050162e-05,7.031536370050162e-05,2.739884754178279e-09,1.0276589223954248e-12,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-4.3032572794,0.0135244343266704,26412.78330399345,26412.783351020502,-4.702705336967483e-05,4.702705336967483e-05,1.7804656459220858e-09,6.421060474490562e-13,,True
