comparison,reference,variable,T_K,sample_count,median_signed_diff,median_abs_diff,max_abs_diff,median_rel_diff,max_rel_diff,max_loca_residual_norm,max_reference_residual_norm,all_reference_converged
loca_vs_auto_continuation,auto_continuation_interpolated_on_loca_log_w,n,190.0,101,-0.0010184393031522632,0.005075628170743585,0.10158593975938857,4.023590207700712e-09,3.884710050916616e-06,9.94685667825457e-11,,True
loca_vs_auto_continuation,auto_continuation_interpolated_on_loca_log_w,n,210.0,101,-0.00013295584358274937,0.0001407607560395263,0.006373493437877187,2.9451445378410813e-09,1.6834095776114745e-06,1.630732248334632e-11,,True
loca_vs_auto_continuation,auto_continuation_interpolated_on_loca_log_w,n,230.0,101,-8.421968232141808e-05,8.809813880361617e-05,0.003023438270929546,3.0747280527088986e-09,1.6806735486271847e-06,1.2806002887503944e-11,,True
loca_vs_auto_continuation,auto_continuation_interpolated_on_loca_log_w,q,190.0,101,-1.1192761127654105e-15,4.92003830797165e-15,2.361258123273403e-13,1.3835012176507476e-09,7.725408645273549e-06,9.94685667825457e-11,,True
loca_vs_auto_continuation,auto_continuation_interpolated_on_loca_log_w,q,210.0,101,-1.505702072423479e-15,1.604620909344441e-15,2.045915836381455e-13,9.490825758004898e-10,1.692838826274329e-06,1.630732248334632e-11,,True
loca_vs_auto_continuation,auto_continuation_interpolated_on_loca_log_w,q,230.0,101,-5.88911176226635e-15,6.157330674245055e-15,6.18012039374065e-13,1.096541489014978e-09,1.6911271903948581e-06,1.2806002887503944e-11,,True
loca_vs_auto_continuation,auto_continuation_interpolated_on_loca_log_w,s,190.0,101,-7.858380612901783e-12,3.6452840745937465e-11,1.314371589344887e-08,2.3105491972890542e-11,8.380816360042347e-09,9.94685667825457e-11,,True
loca_vs_auto_continuation,auto_continuation_interpolated_on_loca_log_w,s,210.0,101,-5.345057729755354e-12,1.9876766899074028e-11,5.017624093994755e-09,1.3141513790702888e-11,3.3197358060859444e-09,1.630732248334632e-11,,True
loca_vs_auto_continuation,auto_continuation_interpolated_on_loca_log_w,s,230.0,101,-6.832312493543213e-12,1.929612025719507e-11,4.409443699060489e-09,1.3295579434146736e-11,3.0583733694200488e-09,1.2806002887503944e-11,,True
loca_vs_digitized_figure1,digitized_paper_mass_concentration,q,190.0,174,-1.3254569925203666e-08,1.3254569925203666e-08,2.5717963548217327e-07,0.021354230501664642,0.062363483137410664,,,
