backend_step_index,log_w,log_n,log_q,s,residual_norm,converged,newton_iterations,continuation_status,step_size,loca_continuation_mode
0,-5.29831736654803631e+00,8.17948172335454338e+00,-1.59885172750864619e+01,1.51127541928270692e+00,2.02196171667711858e-18,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
1,-5.23840272107695615e+00,8.23908177140357800e+00,-1.59286570185083729e+01,1.51145283452862023e+00,1.63073224833463197e-11,true,2,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
2,-5.17848807560587687e+00,8.29867858179033213e+00,-1.58688001043153157e+01,1.51163023995752877e+00,5.70771194793280341e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
3,-5.11857343013479671e+00,8.35827721523420131e+00,-1.58089414495062996e+01,1.51180765063436739e+00,2.09900007101911198e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
4,-5.05865878466371743e+00,8.41787598470165754e+00,-1.57490827484594558e+01,1.51198506153727741e+00,9.06883273146688827e-18,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
5,-4.99874413919263727e+00,8.47747489009215904e+00,-1.56892240012134891e+01,1.51216247266608272e+00,1.33347196213968781e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
6,-4.93882949372155711e+00,8.53707393130418701e+00,-1.56293652078081440e+01,1.51233988402060437e+00,2.74926603708193500e-18,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
7,-4.87891484825047783e+00,8.59667310823794040e+00,-1.55695063682815071e+01,1.51251729560066805e+00,1.23879553885997377e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
8,-4.81900020277939767e+00,8.65627242079372827e+00,-1.55096474826716157e+01,1.51269470740610013e+00,4.99451041434406635e-18,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
9,-4.75908555730831750e+00,8.71587186887196275e+00,-1.54497885510164679e+01,1.51287211943672650e+00,1.89337441582537711e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
10,-4.69917091183723823e+00,8.77547145237315718e+00,-1.53899295733540260e+01,1.51304953169237399e+00,1.83591849138310344e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
11,-4.63925626636615807e+00,8.83507117119793683e+00,-1.53300705497222047e+01,1.51322694417286918e+00,7.04931803086171194e-18,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
12,-4.57934162089507879e+00,8.89467102524702646e+00,-1.52702114801588795e+01,1.51340435687803887e+00,1.07056178940171536e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
13,-4.51942697542399863e+00,8.95427101442125384e+00,-1.52103523647018832e+01,1.51358176980770986e+00,8.07551667718738253e-18,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
14,-4.45951232995291846e+00,9.01387113862155687e+00,-1.51504932033890114e+01,1.51375918296170964e+00,9.40741661648970489e-18,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
15,-4.39959768448183919e+00,9.07347139774897116e+00,-1.50906339962580152e+01,1.51393659633986566e+00,2.00648889436717963e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
16,-4.33968303901075902e+00,9.13307179170463890e+00,-1.50307747433466066e+01,1.51411400994200518e+00,2.07525418033507835e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
17,-4.27976839353967975e+00,9.19267232038980886e+00,-1.49709154446924551e+01,1.51429142376795589e+00,1.93526609262967064e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
18,-4.21985374806859959e+00,9.25227298370582751e+00,-1.49110561003331892e+01,1.51446883781754615e+00,2.13343727352458298e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
19,-4.15993910259751942e+00,9.31187378155415146e+00,-1.48511967103064002e+01,1.51464625209060411e+00,1.85235108086725427e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
20,-4.10002445712644015e+00,9.37147471383633146e+00,-1.47913372746496332e+01,1.51482366658695744e+00,1.47586890484412479e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
21,-4.04010981165535998e+00,9.43107578045403372e+00,-1.47314777934003960e+01,1.51500108130643540e+00,2.04917926132037575e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
22,-3.98019516618428026e+00,9.49067698130901682e+00,-1.46716182665961536e+01,1.51517849624886591e+00,1.76645498634955742e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
23,-3.92028052071320054e+00,9.55027831630314772e+00,-1.46117586942743340e+01,1.51535591141407844e+00,1.15282228915856220e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
24,-3.86036587524212083e+00,9.60987978533839637e+00,-1.45518990764723224e+01,1.51553332680190178e+00,5.78362259400742199e-18,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
25,-3.80045122977104111e+00,9.66948138831683046e+00,-1.44920394132274613e+01,1.51571074241216519e+00,7.03625045262506654e-18,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
26,-3.74053658429996094e+00,9.72908312514062601e+00,-1.44321797045770559e+01,1.51588815824469791e+00,3.18437691389840817e-18,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
27,-3.68062193882888122e+00,9.78868499571205675e+00,-1.43723199505583707e+01,1.51606557429932964e+00,1.36691014643788818e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
28,-3.62070729335780150e+00,9.84828699993350476e+00,-1.43124601512086276e+01,1.51624299057589029e+00,3.20572396219070421e-18,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
29,-3.56079264788672134e+00,9.90788913770744628e+00,-1.42526003065650126e+01,1.51642040707420955e+00,3.30034194934390362e-18,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
30,-3.50087800241564207e+00,9.96749140893646413e+00,-1.41927404166646678e+01,1.51659782379411756e+00,1.30135087637832991e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
31,-3.44096335694456190e+00,1.00270938135232441e+01,-1.41328804815446940e+01,1.51677524073544490e+00,8.31754186679030069e-18,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
32,-3.38104871147348218e+00,1.00866963513705699e+01,-1.40730205012421550e+01,1.51695265789802169e+00,1.90888601813147584e-18,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
33,-3.32113406600240246e+00,1.01462990223813279e+01,-1.40131604757940753e+01,1.51713007528167876e+00,5.58473471625441135e-18,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
34,-3.26121942053132274e+00,1.02059018264585095e+01,-1.39533004052374370e+01,1.51730749288624689e+00,2.05611653152580716e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
35,-3.20130477506024258e+00,1.02655047635052021e+01,-1.38934402896091811e+01,1.51748491071155733e+00,1.77677151108061463e-18,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
36,-3.14139012958916286e+00,1.03251078334245960e+01,-1.38335801289462115e+01,1.51766232875744111e+00,1.99481643733575794e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
37,-3.08147548411808314e+00,1.03847110361199846e+01,-1.37737199232853929e+01,1.51783974702372948e+00,1.95462943566462297e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
38,-3.02156083864700342e+00,1.04443143714947606e+01,-1.37138596726635473e+01,1.51801716551025412e+00,2.15487034004676267e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
39,-2.96164619317592326e+00,1.05039178394524146e+01,-1.36539993771174561e+01,1.51819458421684672e+00,1.79379614308825442e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
40,-2.90173154770484354e+00,1.05635214398965420e+01,-1.35941390366838668e+01,1.51837200314333920e+00,1.02541674961330148e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
41,-2.84181690223376382e+00,1.06231251727308376e+01,-1.35342786513994824e+01,1.51854942228956369e+00,6.75454891519168849e-18,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
42,-2.78190225676268410e+00,1.06827290378590938e+01,-1.34744182213009687e+01,1.51872684165535232e+00,1.80767784357839872e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
43,-2.72198761129160438e+00,1.07423330351852080e+01,-1.34145577464249506e+01,1.51890426124053790e+00,3.61581739911540415e-18,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
44,-2.66207296582052422e+00,1.08019371646131734e+01,-1.33546972268080104e+01,1.51908168104495278e+00,2.05779685380166555e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
45,-2.60215832034944450e+00,1.08615414260470828e+01,-1.32948366624867003e+01,1.51925910106842954e+00,6.18457426947180662e-18,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
