backend,schema_version,branch_id,point_index,T_K,p_Pa,F,N_a_m3,N_a_cm3,log_w,w_m_s,log_n,log_q,n,q,s,continuation_residual_norm,physical_residual_norm,scaled_physical_residual_norm,converged,iterations,message,eigen_index,eigenvalue_real,eigenvalue_imag,eigenvalue_regime,stability_classification,jacobian_coordinate_system,jacobian_method,eigenvalue_source,source_file
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,0,230.0,30000.0,1.0,10000000000.0,10000.0,-7.600902459542082,0.0005000000000000001,5.1458112938558305,-17.18189725803214,171.7107360416643,3.4514122182843986e-08,1.4355614141649349,3.20137727896536e-17,5.551115123125787e-15,3.232829379891909e-17,true,1,converged,1,-0.002687489084061489,0.0008472963930375968,complex_pair,stable,physical_ode_state,sacado_forward_ad_physical_ode_state,teuchos_lapack_geev,episodes/005-figure2-eigenvalues/scripts/run_loca_figure2_eigenvalues.py
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,0,230.0,30000.0,1.0,10000000000.0,10000.0,-7.600902459542082,0.0005000000000000001,5.1458112938558305,-17.18189725803214,171.7107360416643,3.4514122182843986e-08,1.4355614141649349,3.20137727896536e-17,5.551115123125787e-15,3.232829379891909e-17,true,1,converged,2,-0.002687489084061489,-0.0008472963930375968,complex_pair,stable,physical_ode_state,sacado_forward_ad_physical_ode_state,teuchos_lapack_geev,episodes/005-figure2-eigenvalues/scripts/run_loca_figure2_eigenvalues.py
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,0,230.0,30000.0,1.0,10000000000.0,10000.0,-7.600902459542082,0.0005000000000000001,5.1458112938558305,-17.18189725803214,171.7107360416643,3.4514122182843986e-08,1.4355614141649349,3.20137727896536e-17,5.551115123125787e-15,3.232829379891909e-17,true,1,converged,3,-0.0003164111739443065,0.0,complex_pair,stable,physical_ode_state,sacado_forward_ad_physical_ode_state,teuchos_lapack_geev,episodes/005-figure2-eigenvalues/scripts/run_loca_figure2_eigenvalues.py
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,1,230.0,30000.0,1.0,10000000000.0,10000.0,-7.590534897491954,0.0005052107457162512,5.156173549743679,-17.171487911550233,173.4992973883214,3.4875268024285764e-08,1.4355887619641636,3.9477926991964866e-11,3.875710842019187e-11,2.6997361229958797e-11,true,1,converged,1,-0.0026855891431341594,0.0008438153208103314,complex_pair,stable,physical_ode_state,sacado_forward_ad_physical_ode_state,teuchos_lapack_geev,episodes/005-figure2-eigenvalues/scripts/run_loca_figure2_eigenvalues.py
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,1,230.0,30000.0,1.0,10000000000.0,10000.0,-7.590534897491954,0.0005052107457162512,5.156173549743679,-17.171487911550233,173.4992973883214,3.4875268024285764e-08,1.4355887619641636,3.9477926991964866e-11,3.875710842019187e-11,2.6997361229958797e-11,true,1,converged,2,-0.0026855891431341594,-0.0008438153208103314,complex_pair,stable,physical_ode_state,sacado_forward_ad_physical_ode_state,teuchos_lapack_geev,episodes/005-figure2-eigenvalues/scripts/run_loca_figure2_eigenvalues.py
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,1,230.0,30000.0,1.0,10000000000.0,10000.0,-7.590534897491954,0.0005052107457162512,5.156173549743679,-17.171487911550233,173.4992973883214,3.4875268024285764e-08,1.4355887619641636,3.9477926991964866e-11,3.875710842019187e-11,2.6997361229958797e-11,true,1,converged,3,-0.00032040152803105985,0.0,complex_pair,stable,physical_ode_state,sacado_forward_ad_physical_ode_state,teuchos_lapack_geev,episodes/005-figure2-eigenvalues/scripts/run_loca_figure2_eigenvalues.py
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,2,230.0,30000.0,1.0,10000000000.0,10000.0,-7.5801673354418275,0.0005104757951743407,5.166535805631527,-17.161078565068326,175.30648862245377,3.5240192791875503e-08,1.4356161097633924,8.388547994498151e-11,7.832305270204982e-11,5.455710068743229e-11,true,0,converged,1,-0.0026836584512187826,0.000840269066585932,complex_pair,stable,physical_ode_state,sacado_forward_ad_physical_ode_state,teuchos_lapack_geev,episodes/005-figure2-eigenvalues/scripts/run_loca_figure2_eigenvalues.py
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,2,230.0,30000.0,1.0,10000000000.0,10000.0,-7.5801673354418275,0.0005104757951743407,5.166535805631527,-17.161078565068326,175.30648862245377,3.5240192791875503e-08,1.4356161097633924,8.388547994498151e-11,7.832305270204982e-11,5.455710068743229e-11,true,0,converged,2,-0.0026836584512187826,-0.000840269066585932,complex_pair,stable,physical_ode_state,sacado_forward_ad_physical_ode_state,teuchos_lapack_geev,episodes/005-figure2-eigenvalues/scripts/run_loca_figure2_eigenvalues.py
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,2,230.0,30000.0,1.0,10000000000.0,10000.0,-7.5801673354418275,0.0005104757951743407,5.166535805631527,-17.161078565068326,175.30648862245377,3.5240192791875503e-08,1.4356161097633924,8.388547994498151e-11,7.832305270204982e-11,5.455710068743229e-11,true,0,converged,3,-0.00032445351815815635,0.0,complex_pair,stable,physical_ode_state,sacado_forward_ad_physical_ode_state,teuchos_lapack_geev,episodes/005-figure2-eigenvalues/scripts/run_loca_figure2_eigenvalues.py
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,3,230.0,30000.0,1.0,10000000000.0,10000.0,-7.5697997733917,0.0005157957143002499,5.176736637251882,-17.15083138964113,177.10391261843358,3.56031617567186e-08,1.4356430315126822,9.846643456163279e-15,1.4474202760645416e-14,6.736607975133435e-15,true,1,converged,1,-0.0026817271261920022,0.0008367126960188169,complex_pair,stable,physical_ode_state,sacado_forward_ad_physical_ode_state,teuchos_lapack_geev,episodes/005-figure2-eigenvalues/scripts/run_loca_figure2_eigenvalues.py
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,3,230.0,30000.0,1.0,10000000000.0,10000.0,-7.5697997733917,0.0005157957143002499,5.176736637251882,-17.15083138964113,177.10391261843358,3.56031617567186e-08,1.4356430315126822,9.846643456163279e-15,1.4474202760645416e-14,6.736607975133435e-15,true,1,converged,2,-0.0026817271261920022,-0.0008367126960188169,complex_pair,stable,physical_ode_state,sacado_forward_ad_physical_ode_state,teuchos_lapack_geev,episodes/005-figure2-eigenvalues/scripts/run_loca_figure2_eigenvalues.py
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,3,230.0,30000.0,1.0,10000000000.0,10000.0,-7.5697997733917,0.0005157957143002499,5.176736637251882,-17.15083138964113,177.10391261843358,3.56031617567186e-08,1.4356430315126822,9.846643456163279e-15,1.4474202760645416e-14,6.736607975133435e-15,true,1,converged,3,-0.0003285037827870618,0.0,complex_pair,stable,physical_ode_state,sacado_forward_ad_physical_ode_state,teuchos_lapack_geev,episodes/005-figure2-eigenvalues/scripts/run_loca_figure2_eigenvalues.py
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,4,230.0,30000.0,1.0,10000000000.0,10000.0,-7.559432211341572,0.0005211710749177513,5.186937468872237,-17.140584214213934,178.91976566998747,3.5969869250184884e-08,1.435669953261972,8.142730275973036e-11,7.99414116611983e-11,5.568230180940259e-11,true,0,converged,1,-0.0026797646987742935,0.0008330896027742611,complex_pair,stable,physical_ode_state,sacado_forward_ad_physical_ode_state,teuchos_lapack_geev,episodes/005-figure2-eigenvalues/scripts/run_loca_figure2_eigenvalues.py
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,4,230.0,30000.0,1.0,10000000000.0,10000.0,-7.559432211341572,0.0005211710749177513,5.186937468872237,-17.140584214213934,178.91976566998747,3.5969869250184884e-08,1.435669953261972,8.142730275973036e-11,7.99414116611983e-11,5.568230180940259e-11,true,0,converged,2,-0.0026797646987742935,-0.0008330896027742611,complex_pair,stable,physical_ode_state,sacado_forward_ad_physical_ode_state,teuchos_lapack_geev,episodes/005-figure2-eigenvalues/scripts/run_loca_figure2_eigenvalues.py
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,4,230.0,30000.0,1.0,10000000000.0,10000.0,-7.559432211341572,0.0005211710749177513,5.186937468872237,-17.140584214213934,178.91976566998747,3.5969869250184884e-08,1.435669953261972,8.142730275973036e-11,7.99414116611983e-11,5.568230180940259e-11,true,0,converged,3,-0.00033261638290279973,0.0,complex_pair,stable,physical_ode_state,sacado_forward_ad_physical_ode_state,teuchos_lapack_geev,episodes/005-figure2-eigenvalues/scripts/run_loca_figure2_eigenvalues.py
