backend,schema_version,branch_id,point_index,log_w,w_m_s,n,q,s,jacobian_coordinate_system,jacobian_method,physical_jacobian_11,physical_jacobian_12,physical_jacobian_13,physical_jacobian_21,physical_jacobian_22,physical_jacobian_23,physical_jacobian_31,physical_jacobian_32,physical_jacobian_33
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,0,-7.600902459542082,0.0005000000000000001,171.7107360416643,3.4514122182843986e-08,1.4355614141649349,physical_ode_state,sacado_forward_ad_physical_ode_state,-0.0006105204888938469,-6074784.226648459,119.5266195871659,1.021034464130105e-12,-0.005079735474098526,3.0190260348309477e-10,-2.751268771613231e-09,-6.843899771221498,-1.1333790749113851e-06
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,1,-7.590534897491954,0.0005052107457162512,173.4992973883214,3.4875268024285764e-08,1.4355887619641636,physical_ode_state,sacado_forward_ad_physical_ode_state,-0.0006105396557097089,-6074688.872330839,120.77541592481997,1.0211146014733996e-12,-0.005079894950931398,3.050520487569096e-10,-2.751484706162863e-09,-6.844114616718352,-1.1452076582733948e-06
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,2,-7.5801673354418275,0.0005104757951743407,175.30648862245377,3.5240192791875503e-08,1.4356161097633924,physical_ode_state,sacado_forward_ad_physical_ode_state,-0.0006105588231272984,-6074593.519509973,122.03725950080766,1.0211947430937296e-12,-0.005080054437777097,3.0823434901580647e-10,-2.7517006468136396e-09,-6.8443294419809115,-1.1571596913257404e-06
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,3,-7.5697997733917,0.0005157957143002499,177.10391261843358,3.56031617567186e-08,1.4356430315126822,physical_ode_state,sacado_forward_ad_physical_ode_state,-0.0006105776871654832,-6074499.6803052155,123.29232125961933,1.021273626924423e-12,-0.005080211382883065,3.1139949797744696e-10,-2.751913217219123e-09,-6.84454096080268,-1.1689651225128895e-06
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,4,-7.559432211341572,0.0005211710749177513,178.91976566998747,3.5969869250184884e-08,1.435669953261972,physical_ode_state,sacado_forward_ad_physical_ode_state,-0.0006105965517864983,-6074405.842550072,124.56029038807243,1.0213525148983732e-12,-0.005080368337688181,3.1459714872865835e-10,-2.7521257935355314e-09,-6.844752460021448,-1.1808909767053323e-06
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,5,-7.549064649291444,0.0005266024548098747,180.7931494112981,3.6348212774741065e-08,1.4356974431153668,physical_ode_state,sacado_forward_ad_physical_ode_state,-0.0006106158163962463,-6074310.019630105,125.8684730109457,1.021433075120714e-12,-0.0050805286308584306,3.178961607634092e-10,-2.7523428646889386e-09,-6.844968387450136,-1.1933077796696067e-06
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,6,-7.538697087241317,0.0005320904377810099,182.6861484624604,3.6730535847334465e-08,1.4357249329687616,physical_ode_state,sacado_forward_ad_physical_ode_state,-0.0006106350816138018,-6074214.19822173,127.19039469760429,1.0215136396640832e-12,-0.00508068893414252,3.212297677728776e-10,-2.7525599420061123e-09,-6.845184294440972,-1.205855139405203e-06
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,7,-7.5283295251911895,0.0005376356137196611,184.55923782270565,3.710885498785329e-08,1.4357518547179973,physical_ode_state,sacado_forward_ad_physical_ode_state,-0.0006106539432460726,-6074120.388560369,128.49845258749127,1.0215925282947772e-12,-0.005080845859023154,3.2452836332889134e-10,-2.752772525572304e-09,-6.845395787409865,-1.2181573519914993e-06
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,8,-7.517961963141062,0.0005432385786618486,186.4515320530573,3.749107076011955e-08,1.435778776467233,physical_ode_state,sacado_forward_ad_physical_ode_state,-0.0006106728054609519,-6074026.580347796,129.8199628724853,1.021671421067933e-12,-0.005081002793599267,3.278608310030422e-10,-2.752985115048298e-09,-6.845607260783135,-1.230585054933285e-06
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,9,-7.507594401090935,0.0005488999348551773,188.40378072535356,3.788541504836543e-08,1.43580626634752,physical_ode_state,sacado_forward_ad_physical_ode_state,-0.0006106920677343907,-6073930.786993294,131.18338604698585,1.0217519865253741e-12,-0.005081163067539311,3.312989368519889e-10,-2.753202200080985e-09,-6.84582316089736,-1.2435244138329175e-06
