backend_step_index,log_w,log_n,log_q,s,residual_norm,converged,newton_iterations,continuation_status,step_size,loca_continuation_mode,lambda1_real,lambda1_imag,lambda2_real,lambda2_imag,lambda3_real,lambda3_imag,eigenvalue_regime,stability_classification,eigenvalue_source,jacobian_coordinate_system,physical_jacobian_11,physical_jacobian_12,physical_jacobian_13,physical_jacobian_21,physical_jacobian_22,physical_jacobian_23,physical_jacobian_31,physical_jacobian_32,physical_jacobian_33
0,-7.60090245954208221e+00,5.14581129385583047e+00,-1.71818972580321407e+01,1.43556141416493488e+00,3.20137727896536022e-17,true,1,converged,1.03675620501275344e-02,natural_parameter_predictor_corrector,-2.68748908406148904e-03,8.47296393037596813e-04,-2.68748908406148904e-03,-8.47296393037596813e-04,-3.16411173944306499e-04,0.00000000000000000e+00,complex_pair,stable,teuchos_lapack_geev,physical_ode_state,-6.10520488893846877e-04,-6.07478422664845921e+06,1.19526619587165897e+02,1.02103446413010510e-12,-5.07973547409852622e-03,3.01902603483094774e-10,-2.75126877161323117e-09,-6.84389977122149773e+00,-1.13337907491138514e-06
1,-7.59053489749195442e+00,5.15617354974367892e+00,-1.71714879115502335e+01,1.43558876196416363e+00,3.94779269919648655e-11,true,1,converged,1.03675620501275344e-02,natural_parameter_predictor_corrector,-2.68558914313415942e-03,8.43815320810331355e-04,-2.68558914313415942e-03,-8.43815320810331355e-04,-3.20401528031059846e-04,0.00000000000000000e+00,complex_pair,stable,teuchos_lapack_geev,physical_ode_state,-6.10539655709708864e-04,-6.07468887233083881e+06,1.20775415924819967e+02,1.02111460147339962e-12,-5.07989495093139759e-03,3.05052048756909593e-10,-2.75148470616286319e-09,-6.84411461671835220e+00,-1.14520765827339481e-06
2,-7.58016733544182753e+00,5.16653580563152737e+00,-1.71610785650683262e+01,1.43561610976339238e+00,8.38854799449815119e-11,true,0,converged,1.03675620501275344e-02,natural_parameter_predictor_corrector,-2.68365845121878261e-03,8.40269066585932014e-04,-2.68365845121878261e-03,-8.40269066585932014e-04,-3.24453518158156348e-04,0.00000000000000000e+00,complex_pair,stable,teuchos_lapack_geev,physical_ode_state,-6.10558823127298395e-04,-6.07459351950997300e+06,1.22037259500807664e+02,1.02119474309372965e-12,-5.08005443777709721e-03,3.08234349015806466e-10,-2.75170064681363961e-09,-6.84432944198091153e+00,-1.15715969132574040e-06
3,-7.56979977339169974e+00,5.17673663725188238e+00,-1.71508313896411302e+01,1.43564303151268224e+00,9.84664345616327911e-15,true,1,converged,1.03675620501275344e-02,natural_parameter_predictor_corrector,-2.68172712619200223e-03,8.36712696018816890e-04,-2.68172712619200223e-03,-8.36712696018816890e-04,-3.28503782787061796e-04,0.00000000000000000e+00,complex_pair,stable,teuchos_lapack_geev,physical_ode_state,-6.10577687165483212e-04,-6.07449968030521553e+06,1.23292321259619328e+02,1.02127362692442299e-12,-5.08021138288306494e-03,3.11399497977446959e-10,-2.75191321721912314e-09,-6.84454096080268037e+00,-1.16896512251288952e-06
4,-7.55943221134157195e+00,5.18693746887223739e+00,-1.71405842142139342e+01,1.43566995326197211e+00,8.14273027597303571e-11,true,0,converged,1.03675620501275344e-02,natural_parameter_predictor_corrector,-2.67976469877429348e-03,8.33089602774261134e-04,-2.67976469877429348e-03,-8.33089602774261134e-04,-3.32616382902799733e-04,0.00000000000000000e+00,complex_pair,stable,teuchos_lapack_geev,physical_ode_state,-6.10596551786498254e-04,-6.07440584255007189e+06,1.24560290388072431e+02,1.02135251489837315e-12,-5.08036833768818127e-03,3.14597148728658348e-10,-2.75212579353553139e-09,-6.84475246002144821e+00,-1.18089097670533225e-06
5,-7.54906464929144416e+00,5.19735355681597966e+00,-1.71301208013079211e+01,1.43569744311536684e+00,1.78516283299399326e-14,true,1,converged,1.03675620501275344e-02,natural_parameter_predictor_corrector,-2.67772805834502834e-03,8.29319229741943371e-04,-2.67772805834502834e-03,-8.29319229741943371e-04,-3.36881638344284525e-04,0.00000000000000000e+00,complex_pair,stable,teuchos_lapack_geev,physical_ode_state,-6.10615816396246295e-04,-6.07431001963010523e+06,1.25868473010945706e+02,1.02143307512071402e-12,-5.08052863085843055e-03,3.17896160763409190e-10,-2.75234286468893860e-09,-6.84496838745013569e+00,-1.19330777966960668e-06
6,-7.53869708724131726e+00,5.20776964475972193e+00,-1.71196573884019081e+01,1.43572493296876158e+00,8.72274908269374384e-11,true,0,converged,1.03675620501275344e-02,natural_parameter_predictor_corrector,-2.67565753601053296e-03,8.25475247589460863e-04,-2.67565753601053296e-03,-8.25475247589460863e-04,-3.41214798874660274e-04,0.00000000000000000e+00,complex_pair,stable,teuchos_lapack_geev,physical_ode_state,-6.10635081613801760e-04,-6.07421419822173007e+06,1.27190394697604290e+02,1.02151363966408324e-12,-5.08068893414252015e-03,3.21229767772877614e-10,-2.75255994200611233e-09,-6.84518429444097176e+00,-1.20585513940520295e-06
7,-7.52832952519118948e+00,5.21797048415771680e+00,-1.71094102168944247e+01,1.43575185471799727e+00,1.82254937841651749e-14,true,1,converged,1.03675620501275344e-02,natural_parameter_predictor_corrector,-2.67359619437468029e-03,8.21637345655468936e-04,-2.67359619437468029e-03,-8.21637345655468936e-04,-3.45525570871862378e-04,0.00000000000000000e+00,complex_pair,stable,teuchos_lapack_geev,physical_ode_state,-6.10653943246072567e-04,-6.07412038856036868e+06,1.28498452587491272e+02,1.02159252829477724e-12,-5.08084585902315432e-03,3.24528363328891336e-10,-2.75277252557230411e-09,-6.84539578740986521e+00,-1.21815735199149931e-06
8,-7.51796196314106169e+00,5.22817132355571168e+00,-1.70991630453869412e+01,1.43577877646723295e+00,8.48755574916887409e-11,true,0,converged,1.03675620501275344e-02,natural_parameter_predictor_corrector,-2.67150086928377804e-03,8.17724627140614972e-04,-2.67150086928377804e-03,-8.17724627140614972e-04,-3.49904445547600011e-04,0.00000000000000000e+00,complex_pair,stable,teuchos_lapack_geev,physical_ode_state,-6.10672805460951880e-04,-6.07402658034779597e+06,1.29819962872485291e+02,1.02167142106793298e-12,-5.08100279359926729e-03,3.27860831003042177e-10,-2.75298511504829812e-09,-6.84560726078313486e+00,-1.23058505493328495e-06
9,-7.50759440109093479e+00,5.23858742948525169e+00,-1.70886996261429367e+01,1.43580626634751995e+00,1.85849353146321828e-14,true,1,converged,1.03675620501275344e-02,natural_parameter_predictor_corrector,-2.66932545045250012e-03,8.13649791060060612e-04,-2.66932545045250012e-03,-8.13649791060060612e-04,-3.54447758782534394e-04,0.00000000000000000e+00,complex_pair,stable,teuchos_lapack_geev,physical_ode_state,-6.10692067734390715e-04,-6.07393078699329402e+06,1.31183386046985845e+02,1.02175198652537414e-12,-5.08116306753931060e-03,3.31298936851988886e-10,-2.75320220008098496e-09,-6.84582316089735965e+00,-1.24352441383291754e-06
10,-7.49722683904080700e+00,5.24900353541479170e+00,-1.70782362068989322e+01,1.43583375622780696e+00,9.06907736428691714e-11,true,0,converged,1.03675620501275344e-02,natural_parameter_predictor_corrector,-2.66711293680565228e-03,8.09492139093341643e-04,-2.66711293680565228e-03,-8.09492139093341643e-04,-3.59065408417855246e-04,0.00000000000000000e+00,complex_pair,stable,teuchos_lapack_geev,physical_ode_state,-6.10711330615413737e-04,-6.07383499514954817e+06,1.32561128458001349e+02,1.02183255630306271e-12,-5.08132335158946458e-03,3.34773096327083811e-10,-2.75341929127631294e-09,-6.84603904058131363e+00,-1.25659982428452108e-06
11,-7.48685927699067921e+00,5.25920439281090513e+00,-1.70679890290381344e+01,1.43586067800397288e+00,1.89735810933466895e-14,true,1,converged,1.03675620501275344e-02,natural_parameter_predictor_corrector,-2.66490931598185442e-03,8.05337722488571836e-04,-2.66490931598185442e-03,-8.05337722488571836e-04,-3.63661234051225327e-04,0.00000000000000000e+00,complex_pair,stable,teuchos_lapack_geev,physical_ode_state,-6.10730189861683425e-04,-6.07374121492040996e+06,1.33924421690365733e+02,1.02191144981219190e-12,-5.08148025641097338e-03,3.38210768337143714e-10,-2.75363188821407619e-09,-6.84625050791772338e+00,-1.26941974228230963e-06
12,-7.47649171494055143e+00,5.26940525020701855e+00,-1.70577418511773367e+01,1.43588759978013880e+00,8.84650411954699191e-11,true,0,converged,1.03675620501275344e-02,natural_parameter_predictor_corrector,-2.66266840983279355e-03,8.01098828524135021e-04,-2.66266840983279355e-03,-8.01098828524135021e-04,-3.68331771380664267e-04,0.00000000000000000e+00,complex_pair,stable,teuchos_lapack_geev,physical_ode_state,-6.10749049690341309e-04,-6.07364743613924179e+06,1.35301735386036341e+02,1.02199034746299543e-12,-5.08163717092430765e-03,3.41683740641580635e-10,-2.75384449106052994e-09,-6.84646195566584392e+00,-1.28237043160526877e-06
13,-7.46612415289042453e+00,5.27982137411514696e+00,-1.70472784255967618e+01,1.43591508968730963e+00,1.93487025134142525e-14,true,1,converged,1.03675620501275344e-02,natural_parameter_predictor_corrector,-2.66034080767988497e-03,7.96680492581184848e-04,-2.66034080767988497e-03,-7.96680492581184848e-04,-3.73179974248768532e-04,0.00000000000000000e+00,complex_pair,stable,teuchos_lapack_geev,physical_ode_state,-6.10768309628345889e-04,-6.07355167233368196e+06,1.36722731809423493e+02,1.02207091815460023e-12,-5.08179742564137359e-03,3.45266805015142133e-10,-2.75406158996994538e-09,-6.84667782847570638e+00,-1.29585433881874365e-06
