backend,branch_id,point_index,T_K,p_Pa,F,N_a_m3,N_a_cm3,log_w,w_m_s,log_n,log_q,n,q,s,continuation_residual_norm,physical_residual_norm,scaled_physical_residual_norm,converged,iterations,message,eigenvalue_regime,stability_classification,jacobian_coordinate_system,jacobian_method,eigenvalue_source,lambda1_real,lambda1_imag,lambda2_real,lambda2_imag,lambda3_real,lambda3_imag,tracked_lambda1_real,tracked_lambda1_imag,tracked_lambda2_real,tracked_lambda2_imag,tracked_lambda3_real,tracked_lambda3_imag
python,figure2_T230K,0,230.0,30000.0,1.0,10000000000.0,10000.0,-7.600902459542082,0.0005000000000000001,5.145811293855831,-17.18189725803214,171.71073604166446,3.4514122182843986e-08,1.4355614141649342,4.978607945672176e-16,8.548717289613705e-14,4.978557244981928e-16,True,7,The solution converged.,complex_pair,stable,physical_ode_state,analytic_sympy_transcribed_physical_ode_jacobian,python_analytic,-0.0026874890840615437,0.0008472963930376584,-0.0026874890840615437,-0.0008472963930376584,-0.00031641117394421055,0.0,-0.0026874890840615437,0.0008472963930376584,-0.0026874890840615437,-0.0008472963930376584,-0.00031641117394421055,0.0
python,figure2_T230K,1,230.0,30000.0,1.0,10000000000.0,10000.0,-7.590534897491954,0.0005052107457162512,5.156119732760208,-17.17154197456887,173.4899604307474,3.487338261298654e-08,1.435588619929191,1.6936151996064265e-17,2.3869860076040666e-15,1.4295689942466053e-17,True,9,The solution converged.,complex_pair,stable,physical_ode_state,analytic_sympy_transcribed_physical_ode_jacobian,python_analytic,-0.002685599088357065,0.0008438335758476384,-0.002685599088357065,-0.0008438335758476384,-0.00032038061311103963,0.0,-0.002685599088357065,0.0008438335758476384,-0.002685599088357065,-0.0008438335758476384,-0.00032038061311103963,0.0
python,figure2_T230K,2,230.0,30000.0,1.0,10000000000.0,10000.0,-7.5801673354418275,0.0005104757951743407,5.166428176182455,-17.161186689501765,175.2876214970119,3.5236382671982857e-08,1.4356158257002227,8.297499823039624e-17,1.454392162258955e-14,8.297175521239222e-17,True,7,The solution converged.,complex_pair,stable,physical_ode_state,analytic_sympy_transcribed_physical_ode_jacobian,python_analytic,-0.0026836786553057425,0.0008403062728957485,-0.0026836786553057425,-0.0008403062728957485,-0.00032441104307804936,0.0,-0.0026836786553057425,0.0008403062728957485,-0.0026836786553057425,-0.0008403062728957485,-0.00032441104307804936,0.0
python,figure2_T230K,3,230.0,30000.0,1.0,10000000000.0,10000.0,-7.5697997733917,0.0005157957143002499,5.176736624098771,-17.15083140285437,177.1039102889661,3.5603161286285535e-08,1.4356430314779682,8.693163051038183e-17,1.5376588891058418e-14,8.682241327125547e-17,True,7,The solution converged.,complex_pair,stable,physical_ode_state,analytic_sympy_transcribed_physical_ode_jacobian,python_analytic,-0.0026817271287019476,0.0008367127006493931,-0.0026817271287019476,-0.0008367127006493931,-0.0003285037775163444,0.0,-0.0026817271287019476,0.0008367127006493931,-0.0026817271287019476,-0.0008367127006493931,-0.0003285037775163444,0.0
python,figure2_T230K,4,230.0,30000.0,1.0,10000000000.0,10000.0,-7.559432211341572,0.0005211710749177513,5.187045076516302,-17.14047611461914,178.9390198403772,3.597375778864654e-08,1.435670237262447,6.51470080428595e-18,1.1657341758564337e-15,6.514700802514116e-18,True,7,The solution converged.,complex_pair,stable,physical_ode_state,analytic_sympy_transcribed_physical_ode_jacobian,python_analytic,-0.0026797438311225268,0.0008330510012652964,-0.0026797438311225268,-0.0008330510012652964,-0.0003326601725457229,0.0,-0.0026797438311225268,0.0008330510012652964,-0.0026797438311225268,-0.0008330510012652964,-0.0003326601725457229,0.0
python,figure2_T230K,5,230.0,30000.0,1.0,10000000000.0,10000.0,-7.549064649291444,0.0005266024548098747,5.197353533434458,-17.130120824796307,180.7931451840792,3.6348211920980214e-08,1.4356974430536578,9.244436787004179e-17,1.6708856520608606e-14,9.241974580176352e-17,True,7,The solution converged.,complex_pair,stable,physical_ode_state,analytic_sympy_transcribed_physical_ode_jacobian,python_analytic,-0.0026777280629542077,0.0008293192382914192,-0.0026777280629542077,-0.0008293192382914192,-0.00033688162867928325,0.0,-0.0026777280629542077,0.0008293192382914192,-0.0026777280629542077,-0.0008293192382914192,-0.00033688162867928325,0.0
python,figure2_T230K,6,230.0,30000.0,1.0,10000000000.0,10000.0,-7.538697087241317,0.0005320904377810099,5.207661994852649,-17.1197655333861,182.66648337404638,3.6726563838896135e-08,1.4357246488516,5.494512990585015e-17,9.936496070395156e-15,5.439693088156933e-17,True,7,The solution converged.,complex_pair,stable,physical_ode_state,analytic_sympy_transcribed_physical_ode_jacobian,python_analytic,-0.0026756791013526574,0.0008255153920290855,-0.0026756791013526574,-0.0008255153920290855,-0.0003411695929055388,0.0,-0.0026756791013526574,0.0008255153920290855,-0.0026756791013526574,-0.0008255153920290855,-0.0003411695929055388,0.0
python,figure2_T230K,7,230.0,30000.0,1.0,10000000000.0,10000.0,-7.5283295251911895,0.0005376356137196611,5.217970460770286,-17.10941024038874,184.55923350633933,3.710885411600614e-08,1.4357518546562726,2.0439545694603506e-17,3.497202527569243e-15,1.894894371377588e-17,True,7,The solution converged.,complex_pair,stable,physical_ode_state,analytic_sympy_transcribed_physical_ode_jacobian,python_analytic,-0.002673596199139092,0.0008216373545439343,-0.002673596199139092,-0.0008216373545439343,-0.0003455255608954316,0.0,-0.002673596199139092,0.0008216373545439343,-0.002673596199139092,-0.0008216373545439343,-0.0003455255608954316,0.0
python,figure2_T230K,8,230.0,30000.0,1.0,10000000000.0,10000.0,-7.517961963141062,0.0005432385786618486,5.2282789311867806,-17.099054945804465,186.47159674026807,3.749512374827453e-08,1.4357790604676748,4.7147736097091424e-17,8.715250743307482e-15,4.67376849649126e-17,True,7,The solution converged.,complex_pair,stable,physical_ode_state,analytic_sympy_transcribed_physical_ode_jacobian,python_analytic,-0.002671478583627442,0.0008176829242892085,-0.002671478583627442,-0.0008176829242892085,-0.0003499510793479421,0.0,-0.002671478583627442,0.0008176829242892085,-0.002671478583627442,-0.0008176829242892085,-0.0003499510793479421,0.0
python,figure2_T230K,9,230.0,30000.0,1.0,10000000000.0,10000.0,-7.507594401090935,0.0005488999348551773,5.238587406101541,-17.088699649633494,188.40377631977407,3.788541415841594e-08,1.4358062662858053,6.920996811472948e-18,9.436895709315316e-16,5.008867613600441e-18,True,7,The solution converged.,complex_pair,stable,physical_ode_state,analytic_sympy_transcribed_physical_ode_jacobian,python_analytic,-0.002669325455377367,0.0008136498003042384,-0.002669325455377367,-0.0008136498003042384,-0.0003544477484844793,0.0,-0.002669325455377367,0.0008136498003042384,-0.002669325455377367,-0.0008136498003042384,-0.0003544477484844793,0.0
