backend,branch_id,canonical_index,T_K,log_w,w_m_s,table_ii_reference_log_w,table_ii_reference_w_m_s,delta_to_table_ii_log_w,delta_to_table_ii_w_m_s,relative_delta_to_table_ii_w,interpolation_method,raw_T_min_K,raw_T_max_K
auto,lower_hopf,0,190.0,-5.976855613633333,0.0025367904137218516,-5.975287000000002,0.002540772780330431,-0.0015686136333314948,-3.982366608579462e-06,-0.0015673840019891703,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
auto,lower_hopf,1,191.0,-5.888115047099108,0.0027721972363561474,-5.887134570000001,0.0027749166452017957,-0.000980477099107091,-2.719408845648294e-06,-0.000979996588492313,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
auto,lower_hopf,2,192.0,-5.800234182339503,0.003026845828533711,-5.799722080000002,0.0030283962803249226,-0.0005121023395009416,-1.550451791211549e-06,-0.0005119712374779426,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
auto,lower_hopf,3,193.0,-5.713202580026076,0.0033020804160979293,-5.713049529999999,0.003302585838268172,-0.00015305002607668428,-5.054221702428113e-07,-0.00015303831451897928,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
auto,lower_hopf,4,194.0,-5.627009931403838,0.0035993214715710413,-5.627116919999999,0.003598936405818855,0.00010698859616109502,3.8506575218612976e-07,0.0001069943196449777,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
auto,lower_hopf,5,195.0,-5.541647220519338,0.003920064306796341,-5.541924250000001,0.003918978483826695,0.0002770294806628826,1.0858229696460511e-06,0.00027706785687320155,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
auto,lower_hopf,6,196.0,-5.457103294000437,0.004265894908096698,-5.457471519999999,0.0042643243838518165,0.0003682259995612114,1.57052424488123e-06,0.00036829380307663883,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
auto,lower_hopf,7,197.0,-5.373368420547565,0.004638480612610529,-5.373758730000002,0.0046366705230529905,0.00039030945243734294,1.8100895575381276e-06,0.00039038563308274143,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
auto,lower_hopf,8,198.0,-5.290433121037053,0.005039577040092025,-5.290785880000001,0.0050377995976444755,0.00035275896294795217,1.7774424475496334e-06,0.0003528211897076478,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
auto,lower_hopf,9,199.0,-5.208288195608065,0.005471031011315517,-5.208552970000003,0.005469582614163923,0.00026477439193772767,1.4483971515948449e-06,0.00026480944777104276,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
auto,lower_hopf,10,200.0,-5.126924746387052,0.005934783403358467,-5.12706,0.005933980756742751,0.00013525361294774996,8.026466157161002e-07,0.0001352627601301297,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
