backend,branch_id,paper_fit_branch,input_path,input_row_index,T_K,log_w,w_m_s,table_ii_reference_log_w,table_ii_reference_w_m_s,delta_to_table_ii_log_w,delta_to_table_ii_w_m_s,relative_delta_to_table_ii_w,schema_version,method,method_metadata,source_file,continuation_parameterization,jacobian_coordinate_system,state_coordinate_system,raw_auto_run,auto_branch,auto_label,auto_hopf_source_label,raw_loca_run,loca_continuation_mode,loca_native_hopf_stepper,point_index,p_Pa,F,N_a_m3,N_a_cm3,log_n,log_q,n,q,s,hopf_frequency,eigenvalue_real,eigenvalue_imag,residual_norm,equilibrium_residual_norm,eigen_residual_norm,physical_residual_norm,converged,iterations,message,normalization,phase_condition,available_for_comparison,auto_point,auto_type_code,auto_l2_norm
auto,lower_hopf,wb,episodes/006-figure3-hopf-bifurcation/outputs/figure3_auto_hopf_loci/auto_figure3_hopf_loci.csv,0,190.0,-5.976855614,0.0025367904127916,-5.975287000000002,0.002540772780330431,-0.0015686139999981918,-3.982367538830998e-06,-0.0015673843681185396,episode6-hopf-locus-schema-v1,AUTO-07p_native_equilibrium_Hopf_detection_and_ISW2_Hopf_curve_continuation,"Initial branch uses ISP=2 to label HB at T=230 K; loci restart from AUTO HB labels with ISW=2 and ICP=[1,3].",episodes/006-figure3-hopf-bifurcation/outputs/figure3_auto_hopf_loci/raw/bs2026_figure3_hopf/b.bs2026_figure3_hopf.hb1.bw,AUTO_ISW2_Hopf_curve_active_parameters_log_w_T,physical_ode_state,log_n_log_q_s_internal__physical_state_output,bs2026_figure3_hopf,13.0,132.0,13.0,,,,0,30000.0,1.0,10000000000.0,10000.0,8.5168717575,-17.982459362,4998.393088690549,1.5499479999551545e-08,1.566005358,0.0004310649494437,0.0,0.0004310649494437,1.3025890248013761e-12,1.3025890248013761e-12,,6.506174932141576e-09,True,,AUTO-native Hopf curve point parsed from b.*; residual/frequency diagnostics recomputed in Python.,,,True,95.0,-34.0,19.958915853
auto,lower_hopf,wb,episodes/006-figure3-hopf-bifurcation/outputs/figure3_auto_hopf_loci/auto_figure3_hopf_loci.csv,1,190.0,-5.9768556135,0.00253679041406,-5.975287000000002,0.002540772780330431,-0.0015686134999981505,-3.982366270431116e-06,-0.0015673838689003916,episode6-hopf-locus-schema-v1,AUTO-07p_native_equilibrium_Hopf_detection_and_ISW2_Hopf_curve_continuation,"Initial branch uses ISP=2 to label HB at T=230 K; loci restart from AUTO HB labels with ISW=2 and ICP=[1,3].",episodes/006-figure3-hopf-bifurcation/outputs/figure3_auto_hopf_loci/raw/bs2026_figure3_hopf/b.bs2026_figure3_hopf.hb1.fw,AUTO_ISW2_Hopf_curve_active_parameters_log_w_T,physical_ode_state,log_n_log_q_s_internal__physical_state_output,bs2026_figure3_hopf,13.0,366.0,13.0,,,,1,30000.0,1.0,10000000000.0,10000.0,8.516871758,-17.982459362,4998.393091189746,1.5499479999551545e-08,1.566005358,0.0004310649494123,0.0,0.0004310649494123,1.3275162885067798e-12,1.3275162885067798e-12,,6.608124158980085e-09,True,,AUTO-native Hopf curve point parsed from b.*; residual/frequency diagnostics recomputed in Python.,,,True,558.0,-34.0,19.958915853
auto,lower_hopf,wb,episodes/006-figure3-hopf-bifurcation/outputs/figure3_auto_hopf_loci/auto_figure3_hopf_loci.csv,2,190.0,-5.9768556134,0.0025367904143137,-5.975287000000002,0.002540772780330431,-0.0015686133999981422,-3.982366016731277e-06,-0.0015673837690489446,episode6-hopf-locus-schema-v1,AUTO-07p_native_equilibrium_Hopf_detection_and_ISW2_Hopf_curve_continuation,"Initial branch uses ISP=2 to label HB at T=230 K; loci restart from AUTO HB labels with ISW=2 and ICP=[1,3].",episodes/006-figure3-hopf-bifurcation/outputs/figure3_auto_hopf_loci/raw/bs2026_figure3_hopf/b.bs2026_figure3_hopf.hb1.bw,AUTO_ISW2_Hopf_curve_active_parameters_log_w_T,physical_ode_state,log_n_log_q_s_internal__physical_state_output,bs2026_figure3_hopf,13.0,448.0,13.0,,,,2,30000.0,1.0,10000000000.0,10000.0,8.5168717582,-17.982459361,4998.393092189424,1.5499480015051027e-08,1.566005358,0.0004310649494633,0.0,0.0004310649494633,1.4198663896839705e-12,1.4198663896839705e-12,,7.056701001317873e-09,True,,AUTO-native Hopf curve point parsed from b.*; residual/frequency diagnostics recomputed in Python.,,,True,719.0,-34.0,19.958915853
auto,lower_hopf,wb,episodes/006-figure3-hopf-bifurcation/outputs/figure3_auto_hopf_loci/auto_figure3_hopf_loci.csv,3,190.06592187,-5.970978961,0.0025517421398072,-5.9694530456311305,0.0025556388546281884,-0.0015259153688695903,-3.896714820988186e-06,-0.0015247517519665769,episode6-hopf-locus-schema-v1,AUTO-07p_native_equilibrium_Hopf_detection_and_ISW2_Hopf_curve_continuation,"Initial branch uses ISP=2 to label HB at T=230 K; loci restart from AUTO HB labels with ISW=2 and ICP=[1,3].",episodes/006-figure3-hopf-bifurcation/outputs/figure3_auto_hopf_loci/raw/bs2026_figure3_hopf/b.bs2026_figure3_hopf.hb1.bw,AUTO_ISW2_Hopf_curve_active_parameters_log_w_T,physical_ode_state,log_n_log_q_s_internal__physical_state_output,bs2026_figure3_hopf,13.0,447.0,13.0,,,,3,30000.0,1.0,10000000000.0,10000.0,8.518988433,-17.971780905,5008.984269973399,1.5665877382719247e-08,1.5658603256,0.0004334674418726,0.0,0.0004334674418726,1.8112525087975497e-12,1.8112525087975497e-12,,9.067213646574204e-09,True,,AUTO-native Hopf curve point parsed from b.*; residual/frequency diagnostics recomputed in Python.,,,True,718.0,34.0,19.950187753
auto,lower_hopf,wb,episodes/006-figure3-hopf-bifurcation/outputs/figure3_auto_hopf_loci/auto_figure3_hopf_loci.csv,4,190.17874931,-5.9609296455,0.0025775146829591,-5.95947550310877,0.002581265482761212,-0.0014541423912302065,-3.750799802112407e-06,-0.001453085638483078,episode6-hopf-locus-schema-v1,AUTO-07p_native_equilibrium_Hopf_detection_and_ISW2_Hopf_curve_continuation,"Initial branch uses ISP=2 to label HB at T=230 K; loci restart from AUTO HB labels with ISW=2 and ICP=[1,3].",episodes/006-figure3-hopf-bifurcation/outputs/figure3_auto_hopf_loci/raw/bs2026_figure3_hopf/b.bs2026_figure3_hopf.hb1.bw,AUTO_ISW2_Hopf_curve_active_parameters_log_w_T,physical_ode_state,log_n_log_q_s_internal__physical_state_output,bs2026_figure3_hopf,13.0,131.0,13.0,,,,4,30000.0,1.0,10000000000.0,10000.0,8.5226087145,-17.953521228,5027.151067678768,1.5954558837843815e-08,1.5656116743,0.0004376064179368,0.0,0.0004376064179368,5.074778720766086e-13,5.074778720766086e-13,,2.3619983746670782e-09,True,,AUTO-native Hopf curve point parsed from b.*; residual/frequency diagnostics recomputed in Python.,,,True,94.0,34.0,19.935268337
auto,lower_hopf,wb,episodes/006-figure3-hopf-bifurcation/outputs/figure3_auto_hopf_loci/auto_figure3_hopf_loci.csv,5,190.49145612,-5.9331352185,0.0026501601191198,-5.9318714832906565,0.0026535113368526576,-0.0012637352093438636,-3.351217732857747e-06,-0.0012629370322693408,episode6-hopf-locus-schema-v1,AUTO-07p_native_equilibrium_Hopf_detection_and_ISW2_Hopf_curve_continuation,"Initial branch uses ISP=2 to label HB at T=230 K; loci restart from AUTO HB labels with ISW=2 and ICP=[1,3].",episodes/006-figure3-hopf-bifurcation/outputs/figure3_auto_hopf_loci/raw/bs2026_figure3_hopf/b.bs2026_figure3_hopf.hb1.fw,AUTO_ISW2_Hopf_curve_active_parameters_log_w_T,physical_ode_state,log_n_log_q_s_internal__physical_state_output,bs2026_figure3_hopf,13.0,0.0,13.0,,,,5,30000.0,1.0,10000000000.0,10000.0,8.5326262002,-17.903024552,5077.763563340369,1.6780899162055416e-08,1.5649197358,0.000449258030994,0.0,0.000449258030994,2.6782188277943604e-13,2.6782188277943604e-13,,1.2782597202943238e-09,True,,AUTO-native Hopf curve point parsed from b.*; residual/frequency diagnostics recomputed in Python.,,,True,559.0,0.0,19.894043625
auto,lower_hopf,wb,episodes/006-figure3-hopf-bifurcation/outputs/figure3_auto_hopf_loci/auto_figure3_hopf_loci.csv,6,190.55738873,-5.9272857199,0.00266570765534,-5.926060554979625,0.0026689755883169946,-0.001225164920375832,-3.267932976994646e-06,-0.0012244147122586996,episode6-hopf-locus-schema-v1,AUTO-07p_native_equilibrium_Hopf_detection_and_ISW2_Hopf_curve_continuation,"Initial branch uses ISP=2 to label HB at T=230 K; loci restart from AUTO HB labels with ISW=2 and ICP=[1,3].",episodes/006-figure3-hopf-bifurcation/outputs/figure3_auto_hopf_loci/raw/bs2026_figure3_hopf/b.bs2026_figure3_hopf.hb1.bw,AUTO_ISW2_Hopf_curve_active_parameters_log_w_T,physical_ode_state,log_n_log_q_s_internal__physical_state_output,bs2026_figure3_hopf,13.0,0.0,13.0,,,,6,30000.0,1.0,10000000000.0,10000.0,8.5347352865,-17.89239835,5088.484306418589,1.6960167168465663e-08,1.5647733216,0.0004517488630127,0.0,0.0004517488630127,1.4328556979691057e-13,1.4328556979691057e-13,,6.956399900561797e-10,True,,AUTO-native Hopf curve point parsed from b.*; residual/frequency diagnostics recomputed in Python.,,,True,717.0,0.0,19.885375045
auto,lower_hopf,wb,episodes/006-figure3-hopf-bifurcation/outputs/figure3_auto_hopf_loci/auto_figure3_hopf_loci.csv,7,190.67023527,-5.9172827677,0.0026925064114794,-5.9161223615258365,0.0026956326260318443,-0.001160406174163242,-3.126214552444384e-06,-0.0011597331632858241,episode6-hopf-locus-schema-v1,AUTO-07p_native_equilibrium_Hopf_detection_and_ISW2_Hopf_curve_continuation,"Initial branch uses ISP=2 to label HB at T=230 K; loci restart from AUTO HB labels with ISW=2 and ICP=[1,3].",episodes/006-figure3-hopf-bifurcation/outputs/figure3_auto_hopf_loci/raw/bs2026_figure3_hopf/b.bs2026_figure3_hopf.hb1.bw,AUTO_ISW2_Hopf_curve_active_parameters_log_w_T,physical_ode_state,log_n_log_q_s_internal__physical_state_output,bs2026_figure3_hopf,13.0,0.0,13.0,,,,7,30000.0,1.0,10000000000.0,10000.0,8.5383426241,-17.874227878,5106.873334959998,1.7271158282266434e-08,1.5645223057,0.0004560399073427,0.0,0.0004560399073427,1.0962549424458596e-12,1.0962549424458596e-12,,5.590599205795854e-09,True,,AUTO-native Hopf curve point parsed from b.*; residual/frequency diagnostics recomputed in Python.,,,True,93.0,0.0,19.870557291
auto,lower_hopf,wb,episodes/006-figure3-hopf-bifurcation/outputs/figure3_auto_hopf_loci/auto_figure3_hopf_loci.csv,8,190.98299448,-5.8896165572,0.0027680378776451,-5.888627463369957,0.0027707770812725953,-0.0009890938300429752,-2.739203627495374e-06,-0.0009886048379746523,episode6-hopf-locus-schema-v1,AUTO-07p_native_equilibrium_Hopf_detection_and_ISW2_Hopf_curve_continuation,"Initial branch uses ISP=2 to label HB at T=230 K; loci restart from AUTO HB labels with ISW=2 and ICP=[1,3].",episodes/006-figure3-hopf-bifurcation/outputs/figure3_auto_hopf_loci/raw/bs2026_figure3_hopf/b.bs2026_figure3_hopf.hb1.fw,AUTO_ISW2_Hopf_curve_active_parameters_log_w_T,physical_ode_state,log_n_log_q_s_internal__physical_state_output,bs2026_figure3_hopf,13.0,367.0,13.0,,,,8,30000.0,1.0,10000000000.0,10000.0,8.5483243763,-17.823977764,5158.104140342512,1.8161211308279045e-08,1.5638238258,0.0004681184654646,0.0,0.0004681184654646,1.8714293731025586e-12,1.8714293731025586e-12,,9.635090503223957e-09,True,,AUTO-native Hopf curve point parsed from b.*; residual/frequency diagnostics recomputed in Python.,,,True,560.0,34.0,19.82961366
auto,lower_hopf,wb,episodes/006-figure3-hopf-bifurcation/outputs/figure3_auto_hopf_loci/auto_figure3_hopf_loci.csv,9,191.04893771,-5.8837940698,0.0027842017546306,-5.882839583470389,0.0027868605058133477,-0.0009544863296113704,-2.6587511827479496e-06,-0.0009540309524649102,episode6-hopf-locus-schema-v1,AUTO-07p_native_equilibrium_Hopf_detection_and_ISW2_Hopf_curve_continuation,"Initial branch uses ISP=2 to label HB at T=230 K; loci restart from AUTO HB labels with ISW=2 and ICP=[1,3].",episodes/006-figure3-hopf-bifurcation/outputs/figure3_auto_hopf_loci/raw/bs2026_figure3_hopf/b.bs2026_figure3_hopf.hb1.bw,AUTO_ISW2_Hopf_curve_active_parameters_log_w_T,physical_ode_state,log_n_log_q_s_internal__physical_state_output,bs2026_figure3_hopf,13.0,446.0,13.0,,,,9,30000.0,1.0,10000000000.0,10000.0,8.5504259437,-17.813403475,5168.955642437303,1.8354272146862782e-08,1.5636760355,0.0004707003457881,0.0,0.0004707003457881,1.5293135406644062e-12,1.5293135406644062e-12,,7.892091979933078e-09,True,,AUTO-native Hopf curve point parsed from b.*; residual/frequency diagnostics recomputed in Python.,,,True,716.0,34.0,19.821004262
