branch_id,backend_a,backend_b,canonical_index,T_K,log_w_a,log_w_b,w_m_s_a,w_m_s_b,delta_log_w_a_minus_b,delta_w_m_s_a_minus_b,relative_delta_w_a_minus_b
lower_hopf,python,auto,0,190.0,-5.976855534251504,-5.976855613633333,0.0025367906150969228,0.0025367904137218516,7.938182911004787e-08,2.0137507113215936e-10,7.938183227234447e-08
lower_hopf,python,auto,1,191.0,-5.888114612909845,-5.888115047099108,0.002772198440014682,0.0027721972363561474,4.341892623216381e-07,1.2036585343884465e-09,4.34189356587978e-07
lower_hopf,python,auto,2,192.0,-5.800233648986881,-5.800234182339503,0.003026847442910302,0.003026845828533711,5.333526225115293e-07,1.6143765907417063e-09,5.333527646248687e-07
lower_hopf,python,auto,3,193.0,-5.713202178173351,-5.713202580026076,0.0033020817430482103,0.0033020804160979293,4.018527253180082e-07,1.3269502809921951e-09,4.018528060440918e-07
lower_hopf,python,auto,4,194.0,-5.627009862888652,-5.627009931403838,0.0035993217181792283,0.0035993214715710413,6.851518552508651e-08,2.466081869961778e-10,6.851518791638737e-08
lower_hopf,python,auto,5,195.0,-5.541646529007504,-5.541647220519338,0.003920067017568138,0.003920064306796341,6.915118344608118e-07,2.7107717971361356e-09,6.915120735229735e-07
lower_hopf,python,auto,6,196.0,-5.457102199510431,-5.457103294000437,0.004265899577078597,0.004265894908096698,1.0944900061815588e-06,4.668981899019764e-09,1.0944906050446776e-06
lower_hopf,python,auto,7,197.0,-5.37336712409294,-5.373368420547565,0.004638486626194068,0.004638480612610529,1.2964546245441966e-06,6.013583539118961e-09,1.296455464914518e-06
lower_hopf,python,auto,8,198.0,-5.290431806518237,-5.290433121037053,0.005039583664715226,0.005039577040092025,1.3145188164642718e-06,6.6246232006961225e-09,1.3145196805196879e-06
lower_hopf,python,auto,9,199.0,-5.208287030776894,-5.208288195608065,0.005471037384146689,0.005471031011315517,1.1648311710743542e-06,6.3728311716290675e-09,1.16483184950851e-06
lower_hopf,python,auto,10,200.0,-5.12692388590156,-5.126924746387052,0.005934788510155685,0.005934783403358467,8.604854926375083e-07,5.106797217740988e-09,8.604858628625056e-07
lower_hopf,python,auto,11,201.0,-5.046333790309539,-5.046334207122238,0.006432874533559481,0.006432871852256243,4.1681269902227314e-07,2.6813032384664925e-09,4.1681278596060665e-07
lower_hopf,python,auto,12,202.0,-4.9665085159333735,-4.966509129348523,0.006967432294865608,0.006967428020938394,6.134151497860785e-07,4.273927213874207e-09,6.134153379166997e-07
lower_hopf,python,auto,13,203.0,-4.8874402125722,-4.887442291214583,0.0075407003808278675,0.007540684706424745,2.07864238355171e-06,1.5674403122667435e-08,2.0786445439513834e-06
