backend,schema_version,branch_id,paper_fit_branch,point_index,T_K,p_Pa,F,N_a_m3,N_a_cm3,log_w,w_m_s,table_ii_reference_w_m_s,log_n,log_q,n,q,s,hopf_frequency,eigenvalue_real,eigenvalue_imag,residual_norm,converged,iterations,message,jacobian_coordinate_system,state_coordinate_system,continuation_parameterization,method,method_metadata,source_file,raw_loca_run,loca_continuation_mode,loca_native_hopf_stepper
loca,episode6-hopf-locus-schema-v1,lower_hopf,wb,0,190.0,30000.0,1.0,10000000000.0,10000.0,-5.97682099160565,0.0025368782440702052,0.002540772780330431,8.516906193340297,-17.982424770459303,4998.56521552034,1.550001615971798e-08,1.5660054756092194,0.00043120009796618125,7.642834880855705e-10,0.0004310714713491543,1.220908164827838e-14,True,0,Native LOCA Moore-Spence Hopf continuation row from C++ executable.,physical_ode_state,log_n_log_q_s_internal__physical_state_output,LOCA_MooreSpence_Hopf_bifurcation_parameter_log_w_continued_in_T,native_LOCA_MooreSpence_Hopf_continuation,C++ LOCA::Hopf::MooreSpence::ExtendedGroup over TASK-025 LOCA::LAPACK backend; no Python Hopf corrector.,episodes/006-figure3-hopf-bifurcation/scripts/run_loca_hopf_loci.py,episodes/006-figure3-hopf-bifurcation/outputs/figure3_loca_hopf_loci/raw/native_loca_hopf,nox_loca_native_moore_spence_hopf_continuation,True
loca,episode6-hopf-locus-schema-v1,lower_hopf,wb,1,190.5,30000.0,1.0,10000000000.0,10000.0,-5.932343272081074,0.0026522597352177124,0.0026555106900071437,8.532933111227571,-17.901613451568704,5079.322224146221,1.6804595411062152e-08,1.5649008870699705,0.0004497142076135981,7.767313001232926e-10,0.00044958675402848475,1.2528436696681821e-14,True,0,Native LOCA Moore-Spence Hopf continuation row from C++ executable.,physical_ode_state,log_n_log_q_s_internal__physical_state_output,LOCA_MooreSpence_Hopf_bifurcation_parameter_log_w_continued_in_T,native_LOCA_MooreSpence_Hopf_continuation,C++ LOCA::Hopf::MooreSpence::ExtendedGroup over TASK-025 LOCA::LAPACK backend; no Python Hopf corrector.,episodes/006-figure3-hopf-bifurcation/scripts/run_loca_hopf_loci.py,episodes/006-figure3-hopf-bifurcation/outputs/figure3_loca_hopf_loci/raw/native_loca_hopf,nox_loca_native_moore_spence_hopf_continuation,True
loca,episode6-hopf-locus-schema-v1,lower_hopf,wb,2,191.0,30000.0,1.0,10000000000.0,10000.0,-5.888081852200697,0.002772289260689143,0.0027749166452017957,8.548899092042618,-17.8212173599323,5161.069436013459,1.821141284623625e-08,1.5637858415269352,0.0004689159361843526,7.887466592250962e-10,0.00046878983049946667,1.2853817544604236e-14,True,0,Native LOCA Moore-Spence Hopf continuation row from C++ executable.,physical_ode_state,log_n_log_q_s_internal__physical_state_output,LOCA_MooreSpence_Hopf_bifurcation_parameter_log_w_continued_in_T,native_LOCA_MooreSpence_Hopf_continuation,C++ LOCA::Hopf::MooreSpence::ExtendedGroup over TASK-025 LOCA::LAPACK backend; no Python Hopf corrector.,episodes/006-figure3-hopf-bifurcation/scripts/run_loca_hopf_loci.py,episodes/006-figure3-hopf-bifurcation/outputs/figure3_loca_hopf_loci/raw/native_loca_hopf,nox_loca_native_moore_spence_hopf_continuation,True
loca,episode6-hopf-locus-schema-v1,lower_hopf,wb,3,191.5,30000.0,1.0,10000000000.0,10000.0,-5.844035414820445,0.0028971278919727624,0.002899155380540946,8.56480475834081,-17.74123346116033,5243.816009397472,1.972787037492067e-08,1.5626603856213876,0.0004888264018570301,8.002943875680396e-10,0.0004887018161713216,1.3183873229895773e-14,True,0,Native LOCA Moore-Spence Hopf continuation row from C++ executable.,physical_ode_state,log_n_log_q_s_internal__physical_state_output,LOCA_MooreSpence_Hopf_bifurcation_parameter_log_w_continued_in_T,native_LOCA_MooreSpence_Hopf_continuation,C++ LOCA::Hopf::MooreSpence::ExtendedGroup over TASK-025 LOCA::LAPACK backend; no Python Hopf corrector.,episodes/006-figure3-hopf-bifurcation/scripts/run_loca_hopf_loci.py,episodes/006-figure3-hopf-bifurcation/outputs/figure3_loca_hopf_loci/raw/native_loca_hopf,nox_loca_native_moore_spence_hopf_continuation,True
loca,episode6-hopf-locus-schema-v1,lower_hopf,wb,4,192.0,30000.0,1.0,10000000000.0,10000.0,-5.800202648069234,0.003026941279413109,0.0030283962803249226,8.580650751805136,-17.661658737288175,5327.5713241543535,2.13618602286933e-08,1.5615245653055478,0.0005094672090038771,8.113378523912757e-10,0.0005093443123864211,1.3518629683547409e-14,True,0,Native LOCA Moore-Spence Hopf continuation row from C++ executable.,physical_ode_state,log_n_log_q_s_internal__physical_state_output,LOCA_MooreSpence_Hopf_bifurcation_parameter_log_w_continued_in_T,native_LOCA_MooreSpence_Hopf_continuation,C++ LOCA::Hopf::MooreSpence::ExtendedGroup over TASK-025 LOCA::LAPACK backend; no Python Hopf corrector.,episodes/006-figure3-hopf-bifurcation/scripts/run_loca_hopf_loci.py,episodes/006-figure3-hopf-bifurcation/outputs/figure3_loca_hopf_loci/raw/native_loca_hopf,nox_loca_native_moore_spence_hopf_continuation,True
loca,episode6-hopf-locus-schema-v1,lower_hopf,wb,5,192.5,30000.0,1.0,10000000000.0,10000.0,-5.756582246746136,0.0031618997454742255,0.0031628134585886835,8.59643773249153,-17.58249018764641,5412.344989198251,2.312179430868666e-08,1.5603784258522084,0.0005308604535700031,8.21838465790909e-10,0.0005307394118846219,1.3859270976370059e-14,True,0,Native LOCA Moore-Spence Hopf continuation row from C++ executable.,physical_ode_state,log_n_log_q_s_internal__physical_state_output,LOCA_MooreSpence_Hopf_bifurcation_parameter_log_w_continued_in_T,native_LOCA_MooreSpence_Hopf_continuation,C++ LOCA::Hopf::MooreSpence::ExtendedGroup over TASK-025 LOCA::LAPACK backend; no Python Hopf corrector.,episodes/006-figure3-hopf-bifurcation/scripts/run_loca_hopf_loci.py,episodes/006-figure3-hopf-bifurcation/outputs/figure3_loca_hopf_loci/raw/native_loca_hopf,nox_loca_native_moore_spence_hopf_continuation,True
loca,episode6-hopf-locus-schema-v1,lower_hopf,wb,6,193.0,30000.0,1.0,10000000000.0,10000.0,-5.713172913582953,0.0033021783785318706,0.003302585838268172,8.61216637824334,-17.50372482958633,5498.146850891937,2.5016635094370433e-08,1.5592220118646625,0.0005530287286442106,8.317562185265119e-10,0.0005529097040942528,1.4204829814982332e-14,True,0,Native LOCA Moore-Spence Hopf continuation row from C++ executable.,physical_ode_state,log_n_log_q_s_internal__physical_state_output,LOCA_MooreSpence_Hopf_bifurcation_parameter_log_w_continued_in_T,native_LOCA_MooreSpence_Hopf_continuation,C++ LOCA::Hopf::MooreSpence::ExtendedGroup over TASK-025 LOCA::LAPACK backend; no Python Hopf corrector.,episodes/006-figure3-hopf-bifurcation/scripts/run_loca_hopf_loci.py,episodes/006-figure3-hopf-bifurcation/outputs/figure3_loca_hopf_loci/raw/native_loca_hopf,nox_loca_native_moore_spence_hopf_continuation,True
loca,episode6-hopf-locus-schema-v1,lower_hopf,wb,7,193.5,30000.0,1.0,10000000000.0,10000.0,-5.669973360450921,0.0034479571269027923,0.003447897229342634,8.62783738419732,-17.425359699139847,5584.987002011224,2.705592818401091e-08,1.5580553672866664,0.000575995129350528,8.410495292018264e-10,0.0005758782802177307,1.4556445534432522e-14,True,0,Native LOCA Moore-Spence Hopf continuation row from C++ executable.,physical_ode_state,log_n_log_q_s_internal__physical_state_output,LOCA_MooreSpence_Hopf_bifurcation_parameter_log_w_continued_in_T,native_LOCA_MooreSpence_Hopf_continuation,C++ LOCA::Hopf::MooreSpence::ExtendedGroup over TASK-025 LOCA::LAPACK backend; no Python Hopf corrector.,episodes/006-figure3-hopf-bifurcation/scripts/run_loca_hopf_loci.py,episodes/006-figure3-hopf-bifurcation/outputs/figure3_loca_hopf_loci/raw/native_loca_hopf,nox_loca_native_moore_spence_hopf_continuation,True
loca,episode6-hopf-locus-schema-v1,lower_hopf,wb,8,194.0,30000.0,1.0,10000000000.0,10000.0,-5.6269823094988025,0.0035994208930600195,0.003598936405818855,8.643451462397103,-17.347391851598708,5672.875791424922,2.924983654179948e-08,1.5568785354124854,0.0005997832578080518,8.496749037998708e-10,0.0005996687380975385,1.4912609893740995e-14,True,0,Native LOCA Moore-Spence Hopf continuation row from C++ executable.,physical_ode_state,log_n_log_q_s_internal__physical_state_output,LOCA_MooreSpence_Hopf_bifurcation_parameter_log_w_continued_in_T,native_LOCA_MooreSpence_Hopf_continuation,C++ LOCA::Hopf::MooreSpence::ExtendedGroup over TASK-025 LOCA::LAPACK backend; no Python Hopf corrector.,episodes/006-figure3-hopf-bifurcation/scripts/run_loca_hopf_loci.py,episodes/006-figure3-hopf-bifurcation/outputs/figure3_loca_hopf_loci/raw/native_loca_hopf,nox_loca_native_moore_spence_hopf_continuation,True
loca,episode6-hopf-locus-schema-v1,lower_hopf,wb,9,194.5,30000.0,1.0,10000000000.0,10000.0,-5.584198494209678,0.0037567596279944166,0.003755897181418579,8.659009341526632,-17.26981836200134,5761.82383462606,3.160917652968781e-08,1.5556915588970592,0.0006244172276206798,8.575870292902446e-10,0.0006243051868481823,1.5274723809993627e-14,True,0,Native LOCA Moore-Spence Hopf continuation row from C++ executable.,physical_ode_state,log_n_log_q_s_internal__physical_state_output,LOCA_MooreSpence_Hopf_bifurcation_parameter_log_w_continued_in_T,native_LOCA_MooreSpence_Hopf_continuation,C++ LOCA::Hopf::MooreSpence::ExtendedGroup over TASK-025 LOCA::LAPACK backend; no Python Hopf corrector.,episodes/006-figure3-hopf-bifurcation/scripts/run_loca_hopf_loci.py,episodes/006-figure3-hopf-bifurcation/outputs/figure3_loca_hopf_loci/raw/native_loca_hopf,nox_loca_native_moore_spence_hopf_continuation,True
loca,episode6-hopf-locus-schema-v1,lower_hopf,wb,10,195.0,30000.0,1.0,10000000000.0,10000.0,-5.541620660406213,0.003920168425530483,0.003918978483826695,8.674511766737488,-17.192636325554588,5851.8420250367235,3.4145455803922373e-08,1.5544944797661973,0.0006499216685264716,8.647387153532622e-10,0.0006498122512282386,1.5642504225071622e-14,True,0,Native LOCA Moore-Spence Hopf continuation row from C++ executable.,physical_ode_state,log_n_log_q_s_internal__physical_state_output,LOCA_MooreSpence_Hopf_bifurcation_parameter_log_w_continued_in_T,native_LOCA_MooreSpence_Hopf_continuation,C++ LOCA::Hopf::MooreSpence::ExtendedGroup over TASK-025 LOCA::LAPACK backend; no Python Hopf corrector.,episodes/006-figure3-hopf-bifurcation/scripts/run_loca_hopf_loci.py,episodes/006-figure3-hopf-bifurcation/outputs/figure3_loca_hopf_loci/raw/native_loca_hopf,nox_loca_native_moore_spence_hopf_continuation,True
