backend_step_index,T,log_w,log_n,log_q,s,residual_norm,converged,newton_iterations,continuation_status,step_size,loca_continuation_mode,hopf_frequency,lambda1_real,lambda1_imag,lambda2_real,lambda2_imag,lambda3_real,lambda3_imag,eigenvalue_regime,stability_classification,eigenvalue_source,jacobian_coordinate_system
0,2.30000000000000000e+02,-3.02555250996671798e+00,9.69549859656080848e+00,-1.26118148835829409e+01,1.44756833952051389e+00,4.92712025976607487e-17,true,0,converged,5.00000000000000000e-01,nox_loca_native_moore_spence_hopf_continuation,6.55772601301223088e-03,3.59664961319962860e-09,6.55772680557796268e-03,3.59664961319962860e-09,-6.55772680557796268e-03,-5.87521725338712233e-03,0.00000000000000000e+00,complex_pair,unstable,teuchos_lapack_geev,physical_ode_state
1,2.30500000000000000e+02,-2.99526007720602738e+00,9.71188866227892333e+00,-1.25553105905735656e+01,1.44573537527337348e+00,1.37572285825621600e-09,true,0,converged,5.00000000000000000e-01,nox_loca_native_moore_spence_hopf_continuation,6.73153987251581040e-03,3.24593325771684775e-07,6.73362948601115719e-03,3.24593325771684775e-07,-6.73362948601115719e-03,-6.03036478788082642e-03,0.00000000000000000e+00,complex_pair,unstable,teuchos_lapack_geev,physical_ode_state
2,2.31000000000000000e+02,-2.96703117050997767e+00,9.72650217157609376e+00,-1.25009307791986028e+01,1.44388930113487457e+00,6.55405260295544127e-14,true,0,converged,5.00000000000000000e-01,nox_loca_native_moore_spence_hopf_continuation,6.90723971129019940e-03,2.00965030098913811e-10,6.90701244549831762e-03,2.00965030098913811e-10,-6.90701244549831762e-03,-6.18665440988202739e-03,0.00000000000000000e+00,complex_pair,unstable,teuchos_lapack_geev,physical_ode_state
3,2.31500000000000000e+02,-2.93808025071932732e+00,9.74217419849695609e+00,-1.24458313136093732e+01,1.44203758228112022e+00,1.47381003564377220e-15,true,0,converged,5.00000000000000000e-01,nox_loca_native_moore_spence_hopf_continuation,7.08623134980094788e-03,1.57057548390293622e-12,7.08622799404247643e-03,1.57057548390293622e-12,-7.08622799404247643e-03,-6.34637361134778206e-03,0.00000000000000000e+00,complex_pair,mixed,teuchos_lapack_geev,physical_ode_state
4,2.32000000000000000e+02,-2.90935647598882996e+00,9.75794924552587162e+00,-1.23909756108708073e+01,1.44017770888601482e+00,5.51153739897814707e-14,true,0,converged,5.00000000000000000e-01,nox_loca_native_moore_spence_hopf_continuation,7.26879876891792752e-03,-5.57197806503369891e-09,7.26841272237896754e-03,-5.57197806503369891e-09,-7.26841272237896754e-03,-6.50871928250077586e-03,0.00000000000000000e+00,complex_pair,stable,teuchos_lapack_geev,physical_ode_state
5,2.32500000000000000e+02,-2.88081729416279719e+00,9.77387737370882093e+00,-1.23363171590251355e+01,1.43830981557176374e+00,2.45620001504391387e-15,true,0,converged,5.00000000000000000e-01,nox_loca_native_moore_spence_hopf_continuation,7.45368564507360460e-03,2.19455530137135923e-13,7.45368560895699576e-03,2.19455530137135923e-13,-7.45368560895699576e-03,-6.67370661475698030e-03,0.00000000000000000e+00,complex_pair,mixed,teuchos_lapack_geev,physical_ode_state
6,2.33000000000000000e+02,-2.85252305694715291e+00,9.78990646372155204e+00,-1.22819121819797594e+01,1.43643377014435436e+00,5.74943063800136070e-14,true,0,converged,5.00000000000000000e-01,nox_loca_native_moore_spence_hopf_continuation,7.64210676144717015e-03,-4.81540232298224846e-09,7.64183250628699875e-03,-4.81540232298224846e-09,-7.64183250628699875e-03,-6.84125624809021546e-03,0.00000000000000000e+00,complex_pair,stable,teuchos_lapack_geev,physical_ode_state
7,2.33500000000000000e+02,-2.82442365592065103e+00,9.80609439224220658e+00,-1.22277065144513255e+01,1.43454972634224953e+00,2.46753314216348999e-15,true,0,converged,5.00000000000000000e-01,nox_loca_native_moore_spence_hopf_continuation,7.83299359928621257e-03,2.21298023309057790e-13,7.83299356506078452e-03,2.21298023309057790e-13,-7.83299356506078452e-03,-7.01138331406373459e-03,0.00000000000000000e+00,complex_pair,mixed,teuchos_lapack_geev,physical_ode_state
8,2.34000000000000000e+02,-2.79657283164791215e+00,9.82239590074181024e+00,-1.21737496775893987e+01,1.43265756990698523e+00,5.82637555158230525e-14,true,0,converged,5.00000000000000000e-01,nox_loca_native_moore_spence_hopf_continuation,8.02730569871280483e-03,-5.58358224001138936e-09,8.02695781121394968e-03,-5.58358224001138936e-09,-8.02695781121394968e-03,-7.18400327946999966e-03,0.00000000000000000e+00,complex_pair,stable,teuchos_lapack_geev,physical_ode_state
9,2.34500000000000000e+02,-2.76891931078539733e+00,9.83887029007792258e+00,-1.21199862518750763e+01,1.43075745676264954e+00,2.67497258111669186e-15,true,0,converged,5.00000000000000000e-01,nox_loca_native_moore_spence_hopf_continuation,8.22386928969510642e-03,2.59866564031319136e-13,8.22386924490640069e-03,2.59866564031319136e-13,-8.22386924490640069e-03,-7.35912606574578524e-03,0.00000000000000000e+00,complex_pair,mixed,teuchos_lapack_geev,physical_ode_state
10,2.35000000000000000e+02,-2.74152131039858693e+00,9.85546809998125184e+00,-1.20664701449096423e+01,1.42884926187172545e+00,5.93086300031376934e-14,true,0,converged,5.00000000000000000e-01,nox_loca_native_moore_spence_hopf_continuation,8.42386683097289327e-03,-6.03104283332898949e-09,8.42348266791816645e-03,-6.03104283332898949e-09,-8.42348266791816645e-03,-7.53665132620494685e-03,0.00000000000000000e+00,complex_pair,stable,teuchos_lapack_geev,physical_ode_state
11,2.35500000000000000e+02,-2.71432504937000729e+00,9.87225135000631759e+00,-1.20131433576786737e+01,1.42693314674612304e+00,2.83918429333915210e-15,true,0,converged,5.00000000000000000e-01,nox_loca_native_moore_spence_hopf_continuation,8.62595035421304807e-03,2.93379686863715072e-13,8.62595030042671677e-03,2.93379686863715072e-13,-8.62595030042671677e-03,-7.71658463829717235e-03,0.00000000000000000e+00,complex_pair,mixed,teuchos_lapack_geev,physical_ode_state
12,2.36000000000000000e+02,-2.68739070397409963e+00,9.88916883702608018e+00,-1.19600616873041652e+01,1.42500898205161897e+00,6.02333819588071566e-14,true,0,converged,5.00000000000000000e-01,nox_loca_native_moore_spence_hopf_continuation,8.83143245952461992e-03,-6.57826778401211787e-09,8.83099960093150678e-03,-6.57826778401211787e-09,-8.83099960093150678e-03,-7.89881143280579158e-03,0.00000000000000000e+00,complex_pair,stable,teuchos_lapack_geev,physical_ode_state
13,2.36500000000000000e+02,-2.66066233792972540e+00,9.90628490008351292e+00,-1.19071649266364652e+01,1.42307693385024225e+00,3.01351849399442518e-15,true,0,converged,5.00000000000000000e-01,nox_loca_native_moore_spence_hopf_continuation,9.03879050828666590e-03,3.31747216503197606e-13,9.03879044362184553e-03,3.31747216503197606e-13,-9.03879044362184553e-03,-8.08333250473628091e-03,0.00000000000000000e+00,complex_pair,mixed,teuchos_lapack_geev,physical_ode_state
14,2.37000000000000000e+02,-2.63420252078775174e+00,9.92354610956872563e+00,-1.18545112163892892e+01,1.42113686738185385e+00,6.11406723373572599e-14,true,0,converged,5.00000000000000000e-01,nox_loca_native_moore_spence_hopf_continuation,9.24950162272020378e-03,-7.12716145974921778e-09,9.24901984746785873e-03,-7.12716145974921778e-09,-9.24901984746785873e-03,-8.27001797219534089e-03,0.00000000000000000e+00,complex_pair,stable,teuchos_lapack_geev,physical_ode_state
15,2.37500000000000000e+02,-2.60795314980049842e+00,9.94101907894276771e+00,-1.18020381522530098e+01,1.41918895315981519e+00,3.18291201638948887e-15,true,0,converged,5.00000000000000000e-01,nox_loca_native_moore_spence_hopf_continuation,9.46185605664229788e-03,3.72453803909600367e-13,9.46185598015204105e-03,3.72453803909600367e-13,-9.46185598015204105e-03,-8.45886380986123759e-03,0.00000000000000000e+00,complex_pair,mixed,teuchos_lapack_geev,physical_ode_state
16,2.38000000000000000e+02,-2.58196308554452081e+00,9.95866410264580004e+00,-1.17497901592494340e+01,1.41723309139361375e+00,2.01763836469086403e-15,true,0,converged,5.00000000000000000e-01,nox_loca_native_moore_spence_hopf_continuation,9.67703195014878170e-03,1.50918774005637246e-13,9.67703193983287906e-03,1.50918774005637246e-13,-9.67703193983287906e-03,-8.64974291981540980e-03,0.00000000000000000e+00,complex_pair,mixed,teuchos_lapack_geev,physical_ode_state
17,2.38500000000000000e+02,-2.55621977170557546e+00,9.97650256425584736e+00,-1.16977503168396968e+01,1.41526933714312375e+00,2.49687050584050545e-15,true,0,converged,5.00000000000000000e-01,nox_loca_native_moore_spence_hopf_continuation,9.89452328311851356e-03,2.28176852412609321e-13,9.89452325764816377e-03,2.28176852412609321e-13,-9.89452325764816377e-03,-8.84259117277825558e-03,0.00000000000000000e+00,complex_pair,mixed,teuchos_lapack_geev,physical_ode_state
18,2.39000000000000000e+02,-2.53072600780245871e+00,9.99454058165771286e+00,-1.16459170480774361e+01,1.41329770652893250e+00,2.55816302588200722e-15,true,0,converged,5.00000000000000000e-01,nox_loca_native_moore_spence_hopf_continuation,1.01142377074769189e-02,2.39894042131094665e-13,1.01142376800195388e-02,2.39894042131094665e-13,-1.01142376800195388e-02,-9.03732221020099417e-03,0.00000000000000000e+00,complex_pair,mixed,teuchos_lapack_geev,physical_ode_state
19,2.39500000000000000e+02,-2.50548458336522328e+00,1.00127842670611482e+01,-1.15942887792729845e+01,1.41131821548825975e+00,2.61932662002239312e-15,true,0,converged,5.00000000000000000e-01,nox_loca_native_moore_spence_hopf_continuation,1.03360772518061080e-02,2.52011952972530651e-13,1.03360772223018305e-02,2.52011952972530651e-13,-1.03360772223018305e-02,-9.23384449189420739e-03,0.00000000000000000e+00,complex_pair,mixed,teuchos_lapack_geev,physical_ode_state
20,2.40000000000000000e+02,-2.48049827082350749e+00,1.00312397145545997e+01,-1.15428639406570817e+01,1.40933087976598315e+00,2.67940711856042431e-15,true,0,converged,5.00000000000000000e-01,nox_loca_native_moore_spence_hopf_continuation,1.05599382234262840e-02,2.64380531356245285e-13,1.05599381918262507e-02,2.64380531356245285e-13,-1.05599381918262507e-02,-9.43206132323817087e-03,0.00000000000000000e+00,complex_pair,mixed,teuchos_lapack_geev,physical_ode_state
