backend_step_index,T,log_w,log_n,log_q,s,residual_norm,converged,newton_iterations,continuation_status,step_size,loca_continuation_mode,hopf_frequency,lambda1_real,lambda1_imag,lambda2_real,lambda2_imag,lambda3_real,lambda3_imag,eigenvalue_regime,stability_classification,eigenvalue_source,jacobian_coordinate_system
0,2.40000000000000000e+02,2.00430241690770311e-01,1.26967156815420292e+01,-8.86528908802620386e+00,1.41598769200911434e+00,1.02789581102714767e-11,true,0,converged,0.00000000000000000e+00,nox_loca_native_moore_spence_hopf_continuation,3.61911162808065887e-02,-1.06944584881506059e-07,3.61915002696358290e-02,-1.06944584881506059e-07,-3.61915002696358290e-02,-1.19688690474061450e-02,0.00000000000000000e+00,complex_pair,stable,teuchos_lapack_geev,physical_ode_state
1,2.39500000000000000e+02,1.80180145558687194e-01,1.26830183916384751e+01,-8.91196029760786779e+00,1.41800482381836312e+00,3.50019275080079244e-13,true,0,converged,-5.00000000000000000e-01,nox_loca_native_moore_spence_hopf_continuation,3.55044469233794929e-02,-4.41293367773871840e-10,3.55044497203234818e-02,-4.41293367773871840e-10,-3.55044497203234818e-02,-1.17199573821067608e-02,0.00000000000000000e+00,complex_pair,stable,teuchos_lapack_geev,physical_ode_state
2,2.39000000000000000e+02,1.59689200402577114e-01,1.26695462142207145e+01,-8.95882096586728593e+00,1.42001430629705627e+00,1.75525294056592698e-14,true,0,converged,-5.00000000000000000e-01,nox_loca_native_moore_spence_hopf_continuation,3.48213378008183638e-02,8.47291212343302680e-12,3.48213370127805205e-02,8.47291212343302680e-12,-3.48213370127805205e-02,-1.14730791550202420e-02,0.00000000000000000e+00,complex_pair,mixed,teuchos_lapack_geev,physical_ode_state
3,2.38500000000000000e+02,1.38863202847009232e-01,1.26561966403709292e+01,-9.00596951574523175e+00,1.42201588254181366e+00,5.42823354147018469e-15,true,0,converged,-5.00000000000000000e-01,nox_loca_native_moore_spence_hopf_continuation,3.41409403652003646e-02,3.37137484813024302e-12,3.41409401344058769e-02,3.37137484813024302e-12,-3.41409401344058769e-02,-1.12283138026335397e-02,0.00000000000000000e+00,complex_pair,mixed,teuchos_lapack_geev,physical_ode_state
4,2.38000000000000000e+02,1.17705403975514850e-01,1.26429640222471118e+01,-9.05340705750509045e+00,1.42400953740956959e+00,4.12062035557277635e-15,true,0,converged,-5.00000000000000000e-01,nox_loca_native_moore_spence_hopf_continuation,3.34637224741197933e-02,2.98342763254549892e-12,3.34637222730282749e-02,2.98342763254549892e-12,-3.34637222730282749e-02,-1.09857830566849266e-02,0.00000000000000000e+00,complex_pair,mixed,teuchos_lapack_geev,physical_ode_state
5,2.37500000000000000e+02,9.62194793208509536e-02,1.26298431181486066e+01,-9.10113429095257587e+00,1.42599525662506066e+00,3.15359455347159265e-15,true,0,converged,-5.00000000000000000e-01,nox_loca_native_moore_spence_hopf_continuation,3.27901352614472855e-02,2.64421134727604867e-12,3.27901350858407908e-02,2.64421134727604867e-12,-3.27901350858407908e-02,-1.07456022168228998e-02,0.00000000000000000e+00,complex_pair,mixed,teuchos_lapack_geev,physical_ode_state
6,2.37000000000000000e+02,7.44090776343570293e-02,1.26168286626981541e+01,-9.14915194852798308e+00,1.42797302568255513e+00,2.25390005567715090e-15,true,0,converged,-5.00000000000000000e-01,nox_loca_native_moore_spence_hopf_continuation,3.21206109363722375e-02,2.33785376040768211e-12,3.21206107834467458e-02,2.33785376040768211e-12,-3.21206107834467458e-02,-1.05078799169688614e-02,0.00000000000000000e+00,complex_pair,mixed,teuchos_lapack_geev,physical_ode_state
7,2.36500000000000000e+02,5.22778186258176375e-02,1.26039153823885393e+01,-9.19746079050327658e+00,1.42994282986397647e+00,1.47368157774389176e-15,true,0,converged,-5.00000000000000000e-01,nox_loca_native_moore_spence_hopf_continuation,3.14555621119414486e-02,2.06233359383023451e-12,3.14555619791095781e-02,2.06233359383023451e-12,-3.14555619791095781e-02,-1.02727181358316551e-02,0.00000000000000000e+00,complex_pair,mixed,teuchos_lapack_geev,physical_ode_state
8,2.36000000000000000e+02,2.98292865990601938e-02,1.25910980061344908e+01,-9.24606160464894167e+00,1.43190465424550784e+00,6.80187518307822033e-16,true,0,converged,-5.00000000000000000e-01,nox_loca_native_moore_spence_hopf_continuation,3.07953816584656641e-02,1.81616096741146239e-12,3.07953815433593368e-02,1.81616096741146239e-12,-3.07953815433593368e-02,-1.00402122287420771e-02,0.00000000000000000e+00,complex_pair,mixed,teuchos_lapack_geev,physical_ode_state
9,2.35500000000000000e+02,7.06702443377401138e-03,1.25783712752331454e+01,-9.29495520593129854e+00,1.43385848370375313e+00,1.43553629083939882e-16,true,0,converged,-5.00000000000000000e-01,nox_loca_native_moore_spence_hopf_continuation,3.01404426342474323e-02,1.59629319311516138e-12,3.01404425347199141e-02,1.59629319311516138e-12,-3.01404425347199141e-02,-9.81045098137207569e-03,0.00000000000000000e+00,complex_pair,mixed,teuchos_lapack_geev,physical_ode_state
10,2.35000000000000000e+02,-1.60054720762814913e-02,1.25657299527249897e+01,-9.34414243623675667e+00,1.43580430292143890e+00,4.52800989523631059e-16,true,0,converged,-5.00000000000000000e-01,nox_loca_native_moore_spence_hopf_continuation,2.94910982882055951e-02,1.40273686763392469e-12,2.94910982023094750e-02,1.40273686763392469e-12,-2.94910982023094750e-02,-9.58351668373346420e-03,0.00000000000000000e+00,complex_pair,mixed,teuchos_lapack_geev,physical_ode_state
11,2.34500000000000000e+02,-3.93847595046606727e-02,1.25531688321684971e+01,-9.39362416410260614e+00,1.43774209639270190e+00,7.39165148794722817e-16,true,0,converged,-5.00000000000000000e-01,nox_loca_native_moore_spence_hopf_continuation,2.88476821301261593e-02,1.23135117553740958e-12,2.88476820561271406e-02,1.23135117553740958e-12,-2.88476820561271406e-02,-9.35948522282803626e-03,0.00000000000000000e+00,complex_pair,mixed,teuchos_lapack_geev,physical_ode_state
12,2.34000000000000000e+02,-6.30674517115600020e-02,1.25406827458003782e+01,-9.44340128447957916e+00,1.43967184842788010e+00,1.03942569486190063e-15,true,0,converged,-5.00000000000000000e-01,nox_loca_native_moore_spence_hopf_continuation,2.82105080636539732e-02,1.08038708188096244e-12,2.82105080000013414e-02,1.08038708188096244e-12,-2.82105080000013414e-02,-9.13842619229012811e-03,0.00000000000000000e+00,complex_pair,mixed,teuchos_lapack_geev,physical_ode_state
13,2.33500000000000000e+02,-8.70502243848110674e-02,1.25282665721054247e+01,-9.49347471850314584e+00,1.44159354315786503e+00,1.28049048929204638e-15,true,0,converged,-5.00000000000000000e-01,nox_loca_native_moore_spence_hopf_continuation,2.75798705774958804e-02,9.47726272459981089e-13,2.75798705228194642e-02,9.47726272459981089e-13,-2.75798705228194642e-02,-8.92040301738693600e-03,0.00000000000000000e+00,complex_pair,mixed,teuchos_lapack_geev,physical_ode_state
14,2.33000000000000000e+02,-1.11329819213611736e-01,1.25159152427887737e+01,-9.54384541328531988e+00,1.44350716453797090e+00,1.44437236427345418e-15,true,0,converged,-5.00000000000000000e-01,nox_loca_native_moore_spence_hopf_continuation,2.69560449899945639e-02,8.31389644628810487e-13,2.69560449430814378e-02,8.31389644628810487e-13,-2.69560449430814378e-02,-8.70547309374613068e-03,0.00000000000000000e+00,complex_pair,mixed,teuchos_lapack_geev,physical_ode_state
15,2.32500000000000000e+02,-1.35903047696672941e-01,1.25036237491628768e+01,-9.59451434172237505e+00,1.44541269635134118e+00,1.58370994698923116e-15,true,0,converged,-5.00000000000000000e-01,nox_loca_native_moore_spence_hopf_continuation,2.63392877423267169e-02,7.29538825183784212e-13,2.63392877021157434e-02,7.29538825183784212e-13,-2.63392877021157434e-02,-8.49368793822059646e-03,0.00000000000000000e+00,complex_pair,mixed,teuchos_lapack_geev,physical_ode_state
16,2.32000000000000000e+02,-1.60766794592474699e-01,1.24913871479592498e+01,-9.64548250231913151e+00,1.44731012221187805e+00,1.70052697188309716e-15,true,0,converged,-5.00000000000000000e-01,nox_loca_native_moore_spence_hopf_continuation,2.57298367356467161e-02,6.40485928182776831e-13,2.57298367012066993e-02,6.40485928182776831e-13,-2.57298367012066993e-02,-8.28509335033923364e-03,0.00000000000000000e+00,complex_pair,mixed,teuchos_lapack_geev,physical_ode_state
17,2.31500000000000000e+02,-1.85918021019105539e-01,1.24792005665792214e+01,-9.69675091902872666e+00,1.44919942556671533e+00,1.77620765408609927e-15,true,0,converged,-5.00000000000000000e-01,nox_loca_native_moore_spence_hopf_continuation,2.51279117075454868e-02,5.62702662243452778e-13,2.51279116780678269e-02,5.62702662243452778e-13,-2.51279116780678269e-02,-8.07972958284923840e-03,0.00000000000000000e+00,complex_pair,mixed,teuchos_lapack_geev,physical_ode_state
18,2.31000000000000000e+02,-2.11353767214180949e-01,1.24670592077990232e+01,-9.74832064110798946e+00,1.45108058969821996e+00,1.83459701253928845e-15,true,0,converged,-5.00000000000000000e-01,nox_loca_native_moore_spence_hopf_continuation,2.45337146433439283e-02,4.94814909532403924e-13,2.45337146181240015e-02,4.94814909532403924e-13,-2.45337146181240015e-02,-7.87763151991386669e-03,0.00000000000000000e+00,complex_pair,mixed,teuchos_lapack_geev,physical_ode_state
19,2.30500000000000000e+02,-2.37071154965574099e-01,1.24549583539474416e+01,-9.80019274298750531e+00,1.45295359772555011e+00,1.85073593107807478e-15,true,0,converged,-5.00000000000000000e-01,nox_loca_native_moore_spence_hopf_continuation,2.39474302178689230e-02,4.35568573396716285e-13,2.39474301962982090e-02,4.35568573396716285e-13,-2.39474301962982090e-02,-7.67882886160019783e-03,0.00000000000000000e+00,complex_pair,mixed,teuchos_lapack_geev,physical_ode_state
20,2.30000000000000000e+02,-2.63067389725645751e-01,1.24428933705746338e+01,-9.85236832415673014e+00,1.45481843260575983e+00,1.84972607065657613e-15,true,0,converged,-5.00000000000000000e-01,nox_loca_native_moore_spence_hopf_continuation,2.33692262635372475e-02,3.83968681502699916e-13,2.33692262450878110e-02,3.83968681502699916e-13,-2.33692262450878110e-02,-7.48334631336253480e-03,0.00000000000000000e+00,complex_pair,mixed,teuchos_lapack_geev,physical_ode_state
