backend,branch_id,paper_fit_branch,point_index,T_K,p_Pa,F,N_a_m3,N_a_cm3,log_w,w_m_s,table_ii_reference_w_m_s,log_n,log_q,n,q,s,hopf_frequency,eigenvalue_real,eigenvalue_imag,residual_norm,equilibrium_residual_norm,eigen_residual_norm,physical_residual_norm,converged,iterations,message,jacobian_coordinate_system,state_coordinate_system,continuation_parameterization,normalization,phase_condition,method,method_metadata,source_file
python,lower_hopf,wb,0,190.0,30000.0,1.0,10000000000.0,10000.0,-5.976855534251504,0.0025367906150969228,0.002540772780330431,8.516871815814337,-17.982459303513654,4998.393380168533,1.549948090605953e-08,1.5660053582349733,0.00043106496245296335,0.0,0.00043106496245296335,1.3960028467121025e-13,1.246123719860908e-13,6.292850092194372e-14,2.2474034508306648e-11,True,6,`gtol` termination condition is satisfied.,physical_ode_state,log_n_log_q_s_internal__physical_state_output,fixed_T_augmented_unknown_log_w,norm(v_real)^2 + norm(v_imag)^2 = 1,"dot(v_real, previous_v_imag) - dot(v_imag, previous_v_real) = 0",python_characteristic_augmented_hopf_least_squares_predictor_corrector,equilibrium rows use log-state/log-w residual; Hopf row uses physical ODE Jacobian characteristic-polynomial condition a1*a2-a3=0,episodes/006-figure3-hopf-bifurcation/scripts/generate_python_hopf_loci.py
python,lower_hopf,wb,1,191.0,30000.0,1.0,10000000000.0,10000.0,-5.888114612909845,0.002772198440014682,0.0027749166452017957,8.548866489960465,-17.821250109011892,5160.901177146523,1.8210816448993277e-08,1.5637857310270522,0.0004687831179941771,0.0,0.0004687831179941771,1.2646295550215465e-13,1.1233877529760542e-13,5.807648989887444e-14,1.9527702410378232e-11,True,6,`gtol` termination condition is satisfied.,physical_ode_state,log_n_log_q_s_internal__physical_state_output,fixed_T_augmented_unknown_log_w,norm(v_real)^2 + norm(v_imag)^2 = 1,"dot(v_real, previous_v_imag) - dot(v_imag, previous_v_real) = 0",python_characteristic_augmented_hopf_least_squares_predictor_corrector,equilibrium rows use log-state/log-w residual; Hopf row uses physical ODE Jacobian characteristic-polynomial condition a1*a2-a3=0,episodes/006-figure3-hopf-bifurcation/scripts/generate_python_hopf_loci.py
python,lower_hopf,wb,2,192.0,30000.0,1.0,10000000000.0,10000.0,-5.800233648986881,0.003026847442910302,0.0030283962803249226,8.580619904525623,-17.66168972320285,5327.406985607304,2.1361198322169857e-08,1.5615244615109172,0.0005093374120820106,0.0,0.0005093374120820106,1.0351945241725791e-13,8.822505068105418e-14,5.4153646794046525e-14,1.4846164123477358e-11,True,6,`gtol` termination condition is satisfied.,physical_ode_state,log_n_log_q_s_internal__physical_state_output,fixed_T_augmented_unknown_log_w,norm(v_real)^2 + norm(v_imag)^2 = 1,"dot(v_real, previous_v_imag) - dot(v_imag, previous_v_real) = 0",python_characteristic_augmented_hopf_least_squares_predictor_corrector,equilibrium rows use log-state/log-w residual; Hopf row uses physical ODE Jacobian characteristic-polynomial condition a1*a2-a3=0,episodes/006-figure3-hopf-bifurcation/scripts/generate_python_hopf_loci.py
python,lower_hopf,wb,3,193.0,30000.0,1.0,10000000000.0,10000.0,-5.713202178173351,0.0033020817430482103,0.003302585838268172,8.612137262129345,-17.503754076150138,5497.9867685519575,2.501590345445489e-08,1.5592219145998127,0.0005529026342883916,0.0,0.0005529026342883916,7.649177873167062e-14,6.230529599172076e-14,4.437389215427155e-14,1.0207913504458764e-11,True,6,`gtol` termination condition is satisfied.,physical_ode_state,log_n_log_q_s_internal__physical_state_output,fixed_T_augmented_unknown_log_w,norm(v_real)^2 + norm(v_imag)^2 = 1,"dot(v_real, previous_v_imag) - dot(v_imag, previous_v_real) = 0",python_characteristic_augmented_hopf_least_squares_predictor_corrector,equilibrium rows use log-state/log-w residual; Hopf row uses physical ODE Jacobian characteristic-polynomial condition a1*a2-a3=0,episodes/006-figure3-hopf-bifurcation/scripts/generate_python_hopf_loci.py
python,lower_hopf,wb,4,194.0,30000.0,1.0,10000000000.0,10000.0,-5.627009862888652,0.0035993217181792283,0.003598936405818855,8.643424051584882,-17.34741938485747,5672.720295422996,2.924903120956797e-08,1.556878444498324,0.000599661519808614,0.0,0.000599661519808614,5.2052847978879746e-14,3.9260680948266185e-14,3.417744744990202e-14,6.375243428850965e-12,True,6,`gtol` termination condition is satisfied.,physical_ode_state,log_n_log_q_s_internal__physical_state_output,fixed_T_augmented_unknown_log_w,norm(v_real)^2 + norm(v_imag)^2 = 1,"dot(v_real, previous_v_imag) - dot(v_imag, previous_v_real) = 0",python_characteristic_augmented_hopf_least_squares_predictor_corrector,equilibrium rows use log-state/log-w residual; Hopf row uses physical ODE Jacobian characteristic-polynomial condition a1*a2-a3=0,episodes/006-figure3-hopf-bifurcation/scripts/generate_python_hopf_loci.py
python,lower_hopf,wb,5,195.0,30000.0,1.0,10000000000.0,10000.0,-5.541646529007504,0.003920067017568138,0.003918978483826695,8.67448603375715,-17.19266217316277,5851.691441638437,3.414457323696574e-08,1.554494395022158,0.000649804908437681,0.0,0.000649804908437681,2.923725228674564e-14,2.3086218946881153e-14,1.7939994872225537e-14,3.740412553918839e-12,True,6,`gtol` termination condition is satisfied.,physical_ode_state,log_n_log_q_s_internal__physical_state_output,fixed_T_augmented_unknown_log_w,norm(v_real)^2 + norm(v_imag)^2 = 1,"dot(v_real, previous_v_imag) - dot(v_imag, previous_v_real) = 0",python_characteristic_augmented_hopf_least_squares_predictor_corrector,equilibrium rows use log-state/log-w residual; Hopf row uses physical ODE Jacobian characteristic-polynomial condition a1*a2-a3=0,episodes/006-figure3-hopf-bifurcation/scripts/generate_python_hopf_loci.py
python,lower_hopf,wb,6,196.0,30000.0,1.0,10000000000.0,10000.0,-5.457102199510431,0.004265899577078597,0.0042643243838518165,8.705329234279986,-17.039459286546712,6034.988538027204,3.9797597669255744e-08,1.5520700999229526,0.0007035318882944349,0.0,0.0007035318882944349,2.6309441897724073e-14,1.3104402984376764e-14,2.2813622145393225e-14,2.147211284867587e-12,True,6,`gtol` termination condition is satisfied.,physical_ode_state,log_n_log_q_s_internal__physical_state_output,fixed_T_augmented_unknown_log_w,norm(v_real)^2 + norm(v_imag)^2 = 1,"dot(v_real, previous_v_imag) - dot(v_imag, previous_v_real) = 0",python_characteristic_augmented_hopf_least_squares_predictor_corrector,equilibrium rows use log-state/log-w residual; Hopf row uses physical ODE Jacobian characteristic-polynomial condition a1*a2-a3=0,episodes/006-figure3-hopf-bifurcation/scripts/generate_python_hopf_loci.py
python,lower_hopf,wb,7,197.0,30000.0,1.0,10000000000.0,10000.0,-5.3733671240929395,0.004638486626194072,0.0046366705230529905,8.735959942205845,-16.887787902908197,6222.704773175916,4.631555816081519e-08,1.5496058832145936,0.0007610499214860784,0.0,0.0007610499214860784,1.3919930122252817e-14,6.9180842436424735e-15,1.2079096199892899e-14,1.1668648902168547e-12,True,6,`gtol` termination condition is satisfied.,physical_ode_state,log_n_log_q_s_internal__physical_state_output,fixed_T_augmented_unknown_log_w,norm(v_real)^2 + norm(v_imag)^2 = 1,"dot(v_real, previous_v_imag) - dot(v_imag, previous_v_real) = 0",python_characteristic_augmented_hopf_least_squares_predictor_corrector,equilibrium rows use log-state/log-w residual; Hopf row uses physical ODE Jacobian characteristic-polynomial condition a1*a2-a3=0,episodes/006-figure3-hopf-bifurcation/scripts/generate_python_hopf_loci.py
python,lower_hopf,wb,8,198.0,30000.0,1.0,10000000000.0,10000.0,-5.290431806518237,0.005039583664715226,0.0050377995976444755,8.76638471405473,-16.737625539966704,6414.938653680361,5.381973906410115e-08,1.5471020594989775,0.0008225749486001434,0.0,0.0008225749486001434,8.504876117698987e-15,3.48965193341879e-15,7.755981379618771e-15,6.27951830805634e-13,True,6,`gtol` termination condition is satisfied.,physical_ode_state,log_n_log_q_s_internal__physical_state_output,fixed_T_augmented_unknown_log_w,norm(v_real)^2 + norm(v_imag)^2 = 1,"dot(v_real, previous_v_imag) - dot(v_imag, previous_v_real) = 0",python_characteristic_augmented_hopf_least_squares_predictor_corrector,equilibrium rows use log-state/log-w residual; Hopf row uses physical ODE Jacobian characteristic-polynomial condition a1*a2-a3=0,episodes/006-figure3-hopf-bifurcation/scripts/generate_python_hopf_loci.py
python,lower_hopf,wb,9,199.0,30000.0,1.0,10000000000.0,10000.0,-5.208287030776894,0.005471037384146689,0.005469582614163923,8.796610382806952,-16.588950059875426,6611.794527794894,6.244684888368997e-08,1.5445589342895254,0.0008883314684988588,0.0,0.0008883314684988588,5.257094883550406e-15,1.5984728519823369e-15,5.008186413875517e-15,3.168616792176449e-13,True,6,`gtol` termination condition is satisfied.,physical_ode_state,log_n_log_q_s_internal__physical_state_output,fixed_T_augmented_unknown_log_w,norm(v_real)^2 + norm(v_imag)^2 = 1,"dot(v_real, previous_v_imag) - dot(v_imag, previous_v_real) = 0",python_characteristic_augmented_hopf_least_squares_predictor_corrector,equilibrium rows use log-state/log-w residual; Hopf row uses physical ODE Jacobian characteristic-polynomial condition a1*a2-a3=0,episodes/006-figure3-hopf-bifurcation/scripts/generate_python_hopf_loci.py
