panel,pixel_x,temperature_K,upper_boundary_pixel_y,upper_boundary_w_m_s,upper_boundary_log_w_ln_m_s,lower_boundary_pixel_y,lower_boundary_w_m_s,lower_boundary_log_w_ln_m_s,direct_digitization,validity,edge_detector,vertical_color_run_pixels
upper_period_map,62,190.27173913043478,165,0.042858831102102424,-3.149843561774719,279,0.0026781357276001298,-5.92263435054783,True,direct_edge_detected,largest high-saturation contiguous vertical run,115
upper_period_map,63,190.4076086956522,165,0.042858831102102424,-3.149843561774719,279,0.0026781357276001298,-5.92263435054783,True,direct_edge_detected,largest high-saturation contiguous vertical run,115
upper_period_map,64,190.54347826086956,164,0.04391405566443718,-3.1255208355574107,279,0.0026781357276001298,-5.92263435054783,True,direct_edge_detected,largest high-saturation contiguous vertical run,116
upper_period_map,65,190.67934782608697,163,0.0449952608437958,-3.101198109340103,278,0.002744073937494316,-5.898311624330522,True,direct_edge_detected,largest high-saturation contiguous vertical run,116
upper_period_map,66,190.81521739130434,163,0.0449952608437958,-3.101198109340103,278,0.002744073937494316,-5.898311624330522,True,direct_edge_detected,largest high-saturation contiguous vertical run,116
upper_period_map,67,190.95108695652175,162,0.046103086307302275,-3.076875383122795,277,0.0028116356078723165,-5.873988898113215,True,direct_edge_detected,largest high-saturation contiguous vertical run,116
upper_period_map,68,191.08695652173913,162,0.046103086307302275,-3.076875383122795,276,0.0028808607098517384,-5.849666171895906,True,direct_edge_detected,largest high-saturation contiguous vertical run,115
upper_period_map,69,191.22282608695653,161,0.047238187471284276,-3.052552656905487,276,0.0028808607098517384,-5.849666171895906,True,direct_edge_detected,largest high-saturation contiguous vertical run,116
upper_period_map,70,191.3586956521739,161,0.047238187471284276,-3.052552656905487,275,0.0029517901986765415,-5.825343445678598,True,direct_edge_detected,largest high-saturation contiguous vertical run,115
upper_period_map,71,191.4945652173913,160,0.0484012358890333,-3.0282299306881786,275,0.0029517901986765415,-5.825343445678598,True,direct_edge_detected,largest high-saturation contiguous vertical run,116
upper_period_map,72,191.6304347826087,160,0.0484012358890333,-3.0282299306881786,275,0.0029517901986765415,-5.825343445678598,True,direct_edge_detected,largest high-saturation contiguous vertical run,116
upper_period_map,73,191.7663043478261,159,0.04959291964811185,-3.003907204470871,274,0.0030244660379471476,-5.801020719461291,True,direct_edge_detected,largest high-saturation contiguous vertical run,116
upper_period_map,74,191.90217391304347,159,0.04959291964811185,-3.003907204470871,274,0.0030244660379471476,-5.801020719461291,True,direct_edge_detected,largest high-saturation contiguous vertical run,116
upper_period_map,75,192.03804347826087,158,0.05081394377744267,-2.9795844782535625,273,0.003098931224447125,-5.776697993243983,True,direct_edge_detected,largest high-saturation contiguous vertical run,116
upper_period_map,76,192.17391304347825,158,0.05081394377744267,-2.9795844782535625,272,0.003175229813581123,-5.752375267026674,True,direct_edge_detected,largest high-saturation contiguous vertical run,115
upper_period_map,77,192.30978260869566,157,0.05206503066442089,-2.9552617520362547,272,0.003175229813581123,-5.752375267026674,True,direct_edge_detected,largest high-saturation contiguous vertical run,116
upper_period_map,78,192.44565217391303,157,0.05206503066442089,-2.9552617520362547,272,0.003175229813581123,-5.752375267026674,True,direct_edge_detected,largest high-saturation contiguous vertical run,116
upper_period_map,79,192.58152173913044,156,0.05334692048229593,-2.9309390258189456,271,0.003253406945439113,-5.728052540809366,True,direct_edge_detected,largest high-saturation contiguous vertical run,116
upper_period_map,80,192.7173913043478,156,0.05334692048229593,-2.9309390258189456,271,0.003253406945439113,-5.728052540809366,True,direct_edge_detected,largest high-saturation contiguous vertical run,116
